"administrative_level_2","administrative_level_3","day","retail_and_recreation","grocery_and_pharmacy","parks","transit_stations","workplaces","residential"
"Alytaus apskr.","Alytaus m.",2020-06-14,-48,40,NA,NA,34,NA
"Alytaus apskr.","Alytaus m.",2020-06-15,-25,47,NA,NA,-19,0
"Alytaus apskr.","Alytaus m.",2020-06-16,-24,51,NA,NA,-17,-2
"Alytaus apskr.","Alytaus m.",2020-06-17,-26,59,NA,NA,-20,-3
"Alytaus apskr.","Alytaus m.",2020-06-18,-29,50,NA,NA,-20,-2
"Alytaus apskr.","Alytaus m.",2020-06-19,-34,48,NA,NA,-19,-5
"Alytaus apskr.","Alytaus m.",2020-06-20,-42,34,NA,NA,15,NA
"Alytaus apskr.","Alytaus m.",2020-06-21,-42,45,NA,NA,42,NA
"Alytaus apskr.","Alytaus m.",2020-06-22,-20,56,NA,NA,-22,-2
"Alytaus apskr.","Alytaus m.",2020-06-23,-17,84,NA,NA,-22,-8
"Alytaus apskr.","Alytaus m.",2020-06-24,-59,24,NA,NA,-72,NA
"Alytaus apskr.","Alytaus m.",2020-06-25,-25,50,NA,NA,-24,-3
"Alytaus apskr.","Alytaus m.",2020-06-26,-31,45,NA,NA,-23,-5
"Alytaus apskr.","Alytaus m.",2020-06-27,-44,31,NA,NA,11,NA
"Alytaus apskr.","Alytaus m.",2020-06-28,-40,48,NA,NA,38,NA
"Alytaus apskr.","Alytaus m.",2020-06-29,-24,53,NA,NA,-18,-2
"Alytaus apskr.","Alytaus m.",2020-06-30,-22,51,NA,NA,-18,-1
"Alytaus apskr.","Alytaus m.",2020-07-01,-24,47,NA,NA,-20,-3
"Alytaus apskr.","Alytaus m.",2020-07-02,-26,44,NA,NA,-20,-2
"Alytaus apskr.","Alytaus m.",2020-07-03,-31,48,NA,NA,-17,-5
"Alytaus apskr.","Alytaus m.",2020-07-04,-39,42,NA,NA,12,NA
"Alytaus apskr.","Alytaus m.",2020-07-05,-36,41,NA,NA,31,NA
"Alytaus apskr.","Alytaus m.",2020-07-06,-56,12,NA,NA,-76,NA
"Alytaus apskr.","Alytaus m.",2020-07-07,-22,50,NA,NA,-23,-1
"Alytaus apskr.","Alytaus m.",2020-07-08,-25,45,NA,NA,-23,0
"Alytaus apskr.","Alytaus m.",2020-07-09,-26,46,NA,NA,-22,-1
"Alytaus apskr.","Alytaus m.",2020-07-10,-26,50,NA,NA,-21,-2
"Alytaus apskr.","Alytaus m.",2020-07-11,-32,41,NA,NA,12,NA
"Alytaus apskr.","Alytaus m.",2020-07-12,-34,47,NA,NA,35,NA
"Alytaus apskr.","Alytaus m.",2020-07-13,-18,49,NA,NA,-24,-2
"Alytaus apskr.","Alytaus m.",2020-07-14,-17,54,NA,NA,-26,-2
"Alytaus apskr.","Alytaus m.",2020-07-15,-21,57,NA,NA,-26,-3
"Alytaus apskr.","Alytaus m.",2020-07-16,-22,61,NA,NA,-24,-3
"Alytaus apskr.","Alytaus m.",2020-07-17,-27,59,NA,NA,-23,-6
"Alytaus apskr.","Alytaus m.",2020-07-18,-35,45,NA,NA,9,NA
"Alytaus apskr.","Alytaus m.",2020-07-19,-38,55,NA,NA,24,NA
"Alytaus apskr.","Alytaus m.",2020-07-20,-18,62,NA,NA,-29,-4
"Alytaus apskr.","Alytaus m.",2020-07-21,-20,62,NA,NA,-28,-1
"Alytaus apskr.","Alytaus m.",2020-07-22,-20,57,NA,NA,-31,0
"Alytaus apskr.","Alytaus m.",2020-07-23,-23,58,NA,NA,-29,-1
"Alytaus apskr.","Alytaus m.",2020-07-24,-24,58,NA,NA,-27,-5
"Alytaus apskr.","Alytaus m.",2020-07-25,-31,48,NA,NA,8,NA
"Alytaus apskr.","Alytaus m.",2020-07-26,-33,59,NA,NA,31,NA
"Alytaus apskr.","Alytaus m.",2020-07-27,-20,56,NA,NA,-29,-3
"Alytaus apskr.","Alytaus m.",2020-07-28,-21,60,NA,NA,-30,-2
"Alytaus apskr.","Alytaus m.",2020-07-29,-21,58,NA,NA,-30,-2
"Alytaus apskr.","Alytaus m.",2020-07-30,-24,53,NA,NA,-31,0
"Alytaus apskr.","Alytaus m.",2020-07-31,-30,50,NA,NA,-30,1
"Alytaus apskr.","Alytaus m.",2020-08-01,-38,34,NA,NA,10,NA
"Alytaus apskr.","Alytaus m.",2020-08-02,-37,42,NA,NA,29,NA
"Alytaus apskr.","Alytaus m.",2020-08-03,-22,53,NA,NA,-28,-2
"Alytaus apskr.","Alytaus m.",2020-08-04,-23,49,NA,NA,-29,2
"Alytaus apskr.","Alytaus m.",2020-08-05,-20,59,NA,NA,-28,-2
"Alytaus apskr.","Alytaus m.",2020-08-06,-24,59,NA,NA,-27,-3
"Alytaus apskr.","Alytaus m.",2020-08-07,-28,51,NA,NA,-28,-7
"Alytaus apskr.","Alytaus m.",2020-08-08,-36,42,NA,NA,7,NA
"Alytaus apskr.","Alytaus m.",2020-08-09,-40,49,NA,NA,30,NA
"Alytaus apskr.","Alytaus m.",2020-08-10,-22,62,NA,NA,-29,-3
"Alytaus apskr.","Alytaus m.",2020-08-11,-19,61,NA,NA,-30,-4
"Alytaus apskr.","Alytaus m.",2020-08-12,-16,59,NA,NA,-29,-3
"Alytaus apskr.","Alytaus m.",2020-08-13,-18,59,NA,NA,-27,-2
"Alytaus apskr.","Alytaus m.",2020-08-14,-23,63,NA,NA,-26,-5
"Alytaus apskr.","Alytaus m.",2020-08-15,-45,43,NA,NA,-10,NA
"Alytaus apskr.","Alytaus m.",2020-08-16,-38,48,NA,NA,21,NA
"Alytaus apskr.","Alytaus m.",2020-08-17,NA,NA,NA,NA,-28,-4
"Alytaus apskr.","Alytaus m.",2020-08-18,NA,NA,NA,NA,-27,-2
"Alytaus apskr.","Alytaus m.",2020-08-19,NA,NA,NA,NA,-29,-2
"Alytaus apskr.","Alytaus m.",2020-08-20,NA,NA,NA,NA,-29,-2
"Alytaus apskr.","Alytaus m.",2020-08-21,NA,NA,NA,NA,-26,-5
"Alytaus apskr.","Alytaus m.",2020-08-24,NA,NA,NA,NA,-27,-1
"Alytaus apskr.","Alytaus m.",2020-08-25,NA,NA,NA,NA,-26,0
"Alytaus apskr.","Alytaus m.",2020-08-26,NA,NA,NA,NA,-25,1
"Alytaus apskr.","Alytaus m.",2020-08-27,NA,NA,NA,NA,-25,2
"Alytaus apskr.","Alytaus m.",2020-08-28,NA,NA,NA,NA,-21,-3
"Alytaus apskr.","Alytaus m.",2020-08-31,NA,NA,NA,NA,-23,3
"Alytaus apskr.","Alytaus m.",2020-09-01,NA,NA,NA,NA,-23,1
"Alytaus apskr.","Alytaus m.",2020-09-02,NA,NA,NA,NA,-20,-1
"Alytaus apskr.","Alytaus m.",2020-09-03,NA,NA,NA,NA,-19,-3
"Alytaus apskr.","Alytaus m.",2020-09-04,NA,NA,NA,NA,-17,-5
"Alytaus apskr.","Alytaus m.",2020-09-07,NA,NA,NA,NA,-19,-3
"Alytaus apskr.","Alytaus m.",2020-09-08,NA,NA,NA,NA,-18,-3
"Alytaus apskr.","Alytaus m.",2020-09-09,NA,NA,NA,NA,-18,-4
"Alytaus apskr.","Alytaus m.",2020-09-10,NA,NA,NA,NA,-18,-2
"Alytaus apskr.","Alytaus m.",2020-09-11,-25,53,NA,NA,-16,-7
"Alytaus apskr.","Alytaus m.",2020-09-12,-35,34,NA,NA,-4,NA
"Alytaus apskr.","Alytaus m.",2020-09-13,-28,57,NA,NA,3,NA
"Alytaus apskr.","Alytaus m.",2020-09-14,-22,50,NA,NA,-13,-2
"Alytaus apskr.","Alytaus m.",2020-09-15,-18,49,NA,NA,-12,-4
"Alytaus apskr.","Alytaus m.",2020-09-16,-20,47,NA,NA,-12,-5
"Alytaus apskr.","Alytaus m.",2020-09-17,-23,46,NA,NA,-14,-1
"Alytaus apskr.","Alytaus m.",2020-09-18,-26,46,NA,NA,-13,-4
"Alytaus apskr.","Alytaus m.",2020-09-19,-28,37,NA,NA,6,NA
"Alytaus apskr.","Alytaus m.",2020-09-20,-34,52,NA,NA,10,NA
"Alytaus apskr.","Alytaus m.",2020-09-21,-18,48,NA,NA,-13,-2
"Alytaus apskr.","Alytaus m.",2020-09-22,-20,46,NA,NA,-12,-3
"Alytaus apskr.","Alytaus m.",2020-09-23,-23,48,NA,NA,-12,-3
"Alytaus apskr.","Alytaus m.",2020-09-24,-27,41,NA,NA,-11,-2
"Alytaus apskr.","Alytaus m.",2020-09-25,-27,43,NA,NA,-11,-4
"Alytaus apskr.","Alytaus m.",2020-09-26,-36,36,NA,NA,2,-10
"Alytaus apskr.","Alytaus m.",2020-09-27,-38,47,NA,NA,11,NA
"Alytaus apskr.","Alytaus m.",2020-09-28,-29,42,NA,NA,-8,0
"Alytaus apskr.","Alytaus m.",2020-09-29,-29,43,NA,NA,-8,-1
"Alytaus apskr.","Alytaus m.",2020-09-30,-23,44,NA,NA,-9,-1
"Alytaus apskr.","Alytaus m.",2020-10-01,-28,38,NA,NA,-8,0
"Alytaus apskr.","Alytaus m.",2020-10-02,-29,38,NA,NA,-7,-2
"Alytaus apskr.","Alytaus m.",2020-10-03,-33,41,NA,NA,-5,-3
"Alytaus apskr.","Alytaus m.",2020-10-04,-38,49,NA,NA,8,NA
"Alytaus apskr.","Alytaus m.",2020-10-05,-27,38,NA,NA,-7,-1
"Alytaus apskr.","Alytaus m.",2020-10-06,-25,38,NA,NA,-8,-1
"Alytaus apskr.","Alytaus m.",2020-10-07,-28,46,NA,NA,-6,-2
"Alytaus apskr.","Alytaus m.",2020-10-08,-27,41,NA,NA,-6,-1
"Alytaus apskr.","Alytaus m.",2020-10-09,-29,44,NA,NA,-6,-1
"Alytaus apskr.","Alytaus m.",2020-10-10,-28,44,NA,NA,8,-5
"Alytaus apskr.","Alytaus m.",2020-10-11,-33,56,-43,NA,3,NA
"Alytaus apskr.","Alytaus m.",2020-10-12,-24,41,NA,NA,-9,0
"Alytaus apskr.","Alytaus m.",2020-10-13,-25,45,NA,NA,-9,2
"Alytaus apskr.","Alytaus m.",2020-10-14,-26,45,NA,NA,-9,2
"Alytaus apskr.","Alytaus m.",2020-10-15,-24,49,NA,NA,-7,0
"Alytaus apskr.","Alytaus m.",2020-10-16,-27,47,NA,NA,-5,-1
"Alytaus apskr.","Alytaus m.",2020-10-17,-31,42,NA,NA,4,-4
"Alytaus apskr.","Alytaus m.",2020-10-18,-40,49,-38,NA,4,NA
"Alytaus apskr.","Alytaus m.",2020-10-19,-26,45,NA,NA,-8,1
"Alytaus apskr.","Alytaus m.",2020-10-20,-24,44,NA,NA,-6,1
"Alytaus apskr.","Alytaus m.",2020-10-21,-26,45,NA,NA,-6,1
"Alytaus apskr.","Alytaus m.",2020-10-22,-26,49,NA,NA,-3,0
"Alytaus apskr.","Alytaus m.",2020-10-23,-27,47,NA,NA,-6,-1
"Alytaus apskr.","Alytaus m.",2020-10-24,-27,45,NA,NA,2,-3
"Alytaus apskr.","Alytaus m.",2020-10-25,-26,64,NA,NA,9,NA
"Alytaus apskr.","Alytaus m.",2020-10-26,-33,40,NA,NA,-18,5
"Alytaus apskr.","Alytaus m.",2020-10-27,-29,42,NA,NA,-19,4
"Alytaus apskr.","Alytaus m.",2020-10-28,-28,44,NA,NA,-21,4
"Alytaus apskr.","Alytaus m.",2020-10-29,-31,45,NA,NA,-22,5
"Alytaus apskr.","Alytaus m.",2020-10-30,-32,44,NA,NA,-22,6
"Alytaus apskr.","Alytaus m.",2020-10-31,-33,58,NA,NA,-2,-2
"Alytaus apskr.","Alytaus m.",2020-11-01,-45,57,NA,NA,-16,NA
"Alytaus apskr.","Alytaus m.",2020-11-02,-61,21,NA,NA,-82,19
"Alytaus apskr.","Alytaus m.",2020-11-03,-38,28,NA,NA,-22,8
"Alytaus apskr.","Alytaus m.",2020-11-04,-37,31,NA,NA,-24,9
"Alytaus apskr.","Alytaus m.",2020-11-05,-36,37,NA,NA,-21,8
"Alytaus apskr.","Alytaus m.",2020-11-06,-38,29,NA,-39,-20,8
"Alytaus apskr.","Alytaus m.",2020-11-07,-48,24,NA,NA,-3,NA
"Alytaus apskr.","Alytaus m.",2020-11-08,-53,26,NA,NA,-3,NA
"Alytaus apskr.","Alytaus m.",2020-11-09,-43,23,NA,NA,-25,9
"Alytaus apskr.","Alytaus m.",2020-11-10,-40,34,NA,NA,-25,10
"Alytaus apskr.","Alytaus m.",2020-11-11,-41,35,NA,NA,-25,10
"Alytaus apskr.","Alytaus m.",2020-11-12,-41,33,NA,NA,-25,10
"Alytaus apskr.","Alytaus m.",2020-11-13,-47,28,NA,-42,-24,11
"Alytaus apskr.","Alytaus m.",2020-11-14,-42,33,NA,NA,-3,NA
"Alytaus apskr.","Alytaus m.",2020-11-15,-50,28,-45,NA,-4,NA
"Alytaus apskr.","Alytaus m.",2020-11-16,-42,30,NA,NA,-26,10
"Alytaus apskr.","Alytaus m.",2020-11-17,-42,27,NA,NA,-26,11
"Alytaus apskr.","Alytaus m.",2020-11-18,-43,30,NA,NA,-27,11
"Alytaus apskr.","Alytaus m.",2020-11-19,-42,30,NA,NA,-26,11
"Alytaus apskr.","Alytaus m.",2020-11-20,-45,32,NA,-45,-25,11
"Alytaus apskr.","Alytaus m.",2020-11-21,-44,29,NA,NA,-3,NA
"Alytaus apskr.","Alytaus m.",2020-11-22,-53,24,-67,NA,-12,NA
"Alytaus apskr.","Alytaus m.",2020-11-23,-39,31,NA,NA,-27,11
"Alytaus apskr.","Alytaus m.",2020-11-24,-43,28,NA,NA,-27,11
"Alytaus apskr.","Alytaus m.",2020-11-25,-42,32,NA,NA,-27,11
"Alytaus apskr.","Alytaus m.",2020-11-26,-44,28,NA,NA,-26,11
"Alytaus apskr.","Alytaus m.",2020-11-27,-47,24,NA,-45,-25,12
"Alytaus apskr.","Alytaus m.",2020-11-28,-47,26,-46,NA,-2,NA
"Alytaus apskr.","Alytaus m.",2020-11-29,-48,32,NA,NA,-3,NA
"Alytaus apskr.","Alytaus m.",2020-11-30,-42,31,NA,NA,-26,11
"Alytaus apskr.","Alytaus m.",2020-12-01,-39,32,NA,NA,-25,11
"Alytaus apskr.","Alytaus m.",2020-12-02,-39,29,NA,NA,-25,12
"Alytaus apskr.","Alytaus m.",2020-12-03,-42,31,NA,NA,-25,12
"Alytaus apskr.","Alytaus m.",2020-12-04,-46,29,NA,-57,-23,13
"Alytaus apskr.","Alytaus m.",2020-12-05,-39,30,NA,NA,9,NA
"Alytaus apskr.","Alytaus m.",2020-12-06,-42,37,NA,NA,-3,NA
"Alytaus apskr.","Alytaus m.",2020-12-07,-38,27,NA,NA,-26,12
"Alytaus apskr.","Alytaus m.",2020-12-08,-37,34,NA,NA,-26,12
"Alytaus apskr.","Alytaus m.",2020-12-09,-42,24,NA,NA,-28,12
"Alytaus apskr.","Alytaus m.",2020-12-10,-43,27,NA,NA,-29,13
"Alytaus apskr.","Alytaus m.",2020-12-11,-45,29,NA,-46,-28,13
"Alytaus apskr.","Alytaus m.",2020-12-12,-42,25,NA,NA,-1,NA
"Alytaus apskr.","Alytaus m.",2020-12-13,-49,30,NA,NA,-5,NA
"Alytaus apskr.","Alytaus m.",2020-12-14,-18,50,NA,NA,-33,11
"Alytaus apskr.","Alytaus m.",2020-12-15,-20,58,NA,NA,-32,10
"Alytaus apskr.","Alytaus m.",2020-12-16,-70,2,NA,NA,-37,17
