"administrative_level_2","administrative_level_3","day","retail_and_recreation","grocery_and_pharmacy","parks","transit_stations","workplaces","residential"
"Vilniaus apskr.","Trakų r.",2020-02-19,NA,NA,NA,13,-14,3
"Vilniaus apskr.","Trakų r.",2020-02-20,10,NA,NA,5,-12,3
"Vilniaus apskr.","Trakų r.",2020-02-21,15,NA,NA,5,-17,4
"Vilniaus apskr.","Trakų r.",2020-02-22,5,NA,-11,12,2,NA
"Vilniaus apskr.","Trakų r.",2020-02-23,20,NA,3,NA,NA,NA
"Vilniaus apskr.","Trakų r.",2020-02-24,2,NA,NA,7,-1,0
"Vilniaus apskr.","Trakų r.",2020-02-25,4,NA,NA,13,2,1
"Vilniaus apskr.","Trakų r.",2020-02-26,6,NA,NA,12,3,0
"Vilniaus apskr.","Trakų r.",2020-02-27,0,NA,NA,14,0,1
"Vilniaus apskr.","Trakų r.",2020-02-28,0,NA,NA,17,3,1
"Vilniaus apskr.","Trakų r.",2020-02-29,7,NA,21,23,2,NA
"Vilniaus apskr.","Trakų r.",2020-03-01,9,NA,0,NA,NA,NA
"Vilniaus apskr.","Trakų r.",2020-03-02,NA,NA,NA,30,3,0
"Vilniaus apskr.","Trakų r.",2020-03-03,11,NA,NA,3,3,1
"Vilniaus apskr.","Trakų r.",2020-03-04,7,NA,NA,4,4,2
"Vilniaus apskr.","Trakų r.",2020-03-05,3,NA,NA,18,7,0
"Vilniaus apskr.","Trakų r.",2020-03-06,8,NA,NA,33,5,0
"Vilniaus apskr.","Trakų r.",2020-03-07,2,NA,8,14,6,NA
"Vilniaus apskr.","Trakų r.",2020-03-08,28,NA,28,NA,NA,NA
"Vilniaus apskr.","Trakų r.",2020-03-09,NA,NA,NA,11,1,1
"Vilniaus apskr.","Trakų r.",2020-03-10,NA,NA,NA,23,2,-2
"Vilniaus apskr.","Trakų r.",2020-03-11,NA,NA,NA,-14,-69,NA
"Vilniaus apskr.","Trakų r.",2020-03-12,-3,NA,NA,8,3,1
"Vilniaus apskr.","Trakų r.",2020-03-13,-9,NA,NA,3,-14,6
"Vilniaus apskr.","Trakų r.",2020-03-14,-20,NA,-28,7,-2,NA
"Vilniaus apskr.","Trakų r.",2020-03-15,10,NA,61,NA,NA,NA
"Vilniaus apskr.","Trakų r.",2020-03-16,NA,NA,NA,-10,-28,14
"Vilniaus apskr.","Trakų r.",2020-03-17,NA,NA,NA,-18,-40,17
"Vilniaus apskr.","Trakų r.",2020-03-18,NA,NA,NA,-10,-40,19
"Vilniaus apskr.","Trakų r.",2020-03-19,NA,NA,NA,-19,-43,20
"Vilniaus apskr.","Trakų r.",2020-03-20,-63,NA,NA,-26,-45,NA
"Vilniaus apskr.","Trakų r.",2020-03-21,-63,NA,5,-20,-26,NA
"Vilniaus apskr.","Trakų r.",2020-03-22,NA,NA,-4,-32,-37,NA
"Vilniaus apskr.","Trakų r.",2020-03-23,NA,NA,NA,-27,-48,21
"Vilniaus apskr.","Trakų r.",2020-03-24,NA,NA,NA,-23,-51,NA
"Vilniaus apskr.","Trakų r.",2020-03-25,NA,NA,NA,-23,-50,NA
"Vilniaus apskr.","Trakų r.",2020-03-26,NA,NA,NA,-22,-47,NA
"Vilniaus apskr.","Trakų r.",2020-03-27,NA,NA,NA,-30,-50,NA
"Vilniaus apskr.","Trakų r.",2020-03-28,-43,NA,117,7,-39,NA
"Vilniaus apskr.","Trakų r.",2020-03-29,NA,NA,-38,-43,-33,NA
"Vilniaus apskr.","Trakų r.",2020-03-30,NA,NA,NA,-26,-51,NA
"Vilniaus apskr.","Trakų r.",2020-03-31,NA,NA,NA,-29,-50,NA
"Vilniaus apskr.","Trakų r.",2020-04-01,NA,NA,NA,-39,-46,NA
"Vilniaus apskr.","Trakų r.",2020-04-02,NA,NA,NA,-39,-48,NA
"Vilniaus apskr.","Trakų r.",2020-04-03,NA,NA,NA,-39,-48,NA
"Vilniaus apskr.","Trakų r.",2020-04-04,-70,NA,12,-16,-30,NA
"Vilniaus apskr.","Trakų r.",2020-04-05,-54,NA,65,-6,-34,NA
"Vilniaus apskr.","Trakų r.",2020-04-06,NA,NA,NA,-28,-50,NA
"Vilniaus apskr.","Trakų r.",2020-04-07,-49,NA,NA,-11,-49,NA
"Vilniaus apskr.","Trakų r.",2020-04-08,-54,NA,NA,-13,-49,NA
"Vilniaus apskr.","Trakų r.",2020-04-09,NA,NA,NA,-19,-47,NA
"Vilniaus apskr.","Trakų r.",2020-04-10,-64,NA,NA,-18,-52,NA
"Vilniaus apskr.","Trakų r.",2020-04-11,-83,NA,-56,-40,-39,NA
"Vilniaus apskr.","Trakų r.",2020-04-12,NA,NA,-57,-53,-51,NA
"Vilniaus apskr.","Trakų r.",2020-04-13,NA,NA,NA,-65,-87,NA
"Vilniaus apskr.","Trakų r.",2020-04-14,NA,NA,NA,-31,-50,NA
"Vilniaus apskr.","Trakų r.",2020-04-15,NA,NA,NA,-38,-49,NA
"Vilniaus apskr.","Trakų r.",2020-04-16,NA,NA,NA,-23,-48,NA
"Vilniaus apskr.","Trakų r.",2020-04-17,NA,NA,NA,-28,-45,NA
"Vilniaus apskr.","Trakų r.",2020-04-18,-53,NA,39,0,-23,NA
"Vilniaus apskr.","Trakų r.",2020-04-19,NA,NA,9,-10,NA,NA
"Vilniaus apskr.","Trakų r.",2020-04-20,NA,NA,NA,-18,-46,20
"Vilniaus apskr.","Trakų r.",2020-04-21,NA,NA,NA,-12,-48,19
"Vilniaus apskr.","Trakų r.",2020-04-22,NA,NA,NA,-8,-45,18
"Vilniaus apskr.","Trakų r.",2020-04-23,-42,NA,NA,-4,-45,19
"Vilniaus apskr.","Trakų r.",2020-04-24,-47,NA,NA,-14,-44,19
"Vilniaus apskr.","Trakų r.",2020-04-25,-36,NA,73,38,-20,NA
"Vilniaus apskr.","Trakų r.",2020-04-26,-37,NA,78,NA,NA,NA
"Vilniaus apskr.","Trakų r.",2020-04-27,-43,NA,NA,-21,-43,17
"Vilniaus apskr.","Trakų r.",2020-04-28,-42,NA,NA,-12,-42,18
"Vilniaus apskr.","Trakų r.",2020-04-29,NA,NA,NA,-9,-41,18
"Vilniaus apskr.","Trakų r.",2020-04-30,-32,NA,NA,10,-43,15
"Vilniaus apskr.","Trakų r.",2020-05-01,-12,NA,NA,27,-76,NA
"Vilniaus apskr.","Trakų r.",2020-05-02,-48,NA,5,30,-23,NA
"Vilniaus apskr.","Trakų r.",2020-05-03,-30,NA,76,NA,NA,NA
"Vilniaus apskr.","Trakų r.",2020-05-04,-38,NA,NA,-13,-40,16
"Vilniaus apskr.","Trakų r.",2020-05-05,-37,NA,NA,-11,-40,16
"Vilniaus apskr.","Trakų r.",2020-05-06,-44,NA,NA,-15,-39,18
"Vilniaus apskr.","Trakų r.",2020-05-07,-35,NA,NA,-12,-38,17
"Vilniaus apskr.","Trakų r.",2020-05-08,-32,NA,NA,6,-38,16
"Vilniaus apskr.","Trakų r.",2020-05-09,0,NA,163,NA,-17,NA
"Vilniaus apskr.","Trakų r.",2020-05-10,40,NA,NA,NA,NA,NA
"Vilniaus apskr.","Trakų r.",2020-05-11,NA,NA,NA,-14,-38,16
"Vilniaus apskr.","Trakų r.",2020-05-12,NA,NA,NA,-14,-37,18
"Vilniaus apskr.","Trakų r.",2020-05-13,-47,NA,NA,-13,-36,16
"Vilniaus apskr.","Trakų r.",2020-05-14,-45,NA,NA,-7,-33,15
"Vilniaus apskr.","Trakų r.",2020-05-15,-34,NA,NA,-14,-35,15
"Vilniaus apskr.","Trakų r.",2020-05-16,-28,NA,61,31,-9,NA
"Vilniaus apskr.","Trakų r.",2020-05-17,-31,NA,32,NA,NA,NA
"Vilniaus apskr.","Trakų r.",2020-05-18,NA,NA,NA,-21,-33,14
"Vilniaus apskr.","Trakų r.",2020-05-19,NA,NA,NA,-7,-31,14
"Vilniaus apskr.","Trakų r.",2020-05-20,-19,NA,NA,18,-28,12
"Vilniaus apskr.","Trakų r.",2020-05-21,-34,NA,NA,13,-30,14
"Vilniaus apskr.","Trakų r.",2020-05-22,-33,NA,NA,30,-28,12
"Vilniaus apskr.","Trakų r.",2020-05-23,33,NA,NA,NA,4,NA
"Vilniaus apskr.","Trakų r.",2020-05-24,NA,NA,7,NA,NA,NA
"Vilniaus apskr.","Trakų r.",2020-05-25,-23,NA,NA,5,-31,12
"Vilniaus apskr.","Trakų r.",2020-05-26,-16,NA,NA,34,-26,11
"Vilniaus apskr.","Trakų r.",2020-05-27,-2,NA,NA,29,-25,11
"Vilniaus apskr.","Trakų r.",2020-05-28,-14,NA,NA,15,-24,11
"Vilniaus apskr.","Trakų r.",2020-05-29,-28,NA,NA,22,-26,10
"Vilniaus apskr.","Trakų r.",2020-05-30,-17,NA,76,NA,NA,NA
"Vilniaus apskr.","Trakų r.",2020-05-31,51,NA,NA,NA,NA,NA
"Vilniaus apskr.","Trakų r.",2020-06-01,-8,NA,NA,21,-23,8
"Vilniaus apskr.","Trakų r.",2020-06-02,-20,NA,NA,16,-24,10
"Vilniaus apskr.","Trakų r.",2020-06-03,-19,NA,NA,11,-22,10
"Vilniaus apskr.","Trakų r.",2020-06-04,-13,NA,NA,40,-20,8
"Vilniaus apskr.","Trakų r.",2020-06-05,-14,NA,NA,40,-21,7
"Vilniaus apskr.","Trakų r.",2020-06-06,21,NA,214,NA,NA,NA
"Vilniaus apskr.","Trakų r.",2020-06-07,48,NA,NA,NA,NA,NA
"Vilniaus apskr.","Trakų r.",2020-06-08,-15,NA,NA,31,-23,7
"Vilniaus apskr.","Trakų r.",2020-06-09,-15,NA,NA,21,-20,6
"Vilniaus apskr.","Trakų r.",2020-06-10,0,NA,NA,37,-19,5
"Vilniaus apskr.","Trakų r.",2020-06-11,4,NA,NA,52,-19,5
"Vilniaus apskr.","Trakų r.",2020-06-12,1,NA,NA,33,-20,4
"Vilniaus apskr.","Trakų r.",2020-06-13,29,NA,219,NA,9,NA
"Vilniaus apskr.","Trakų r.",2020-06-14,1,NA,97,NA,13,NA
"Vilniaus apskr.","Trakų r.",2020-06-15,-6,NA,NA,23,-20,5
"Vilniaus apskr.","Trakų r.",2020-06-16,8,NA,NA,43,-18,4
"Vilniaus apskr.","Trakų r.",2020-06-17,NA,NA,NA,NA,-16,3
"Vilniaus apskr.","Trakų r.",2020-06-18,11,NA,NA,NA,-19,3
"Vilniaus apskr.","Trakų r.",2020-06-19,7,NA,NA,70,-20,2
"Vilniaus apskr.","Trakų r.",2020-06-20,40,NA,NA,NA,6,NA
"Vilniaus apskr.","Trakų r.",2020-06-21,NA,NA,NA,NA,21,NA
"Vilniaus apskr.","Trakų r.",2020-06-22,NA,NA,NA,NA,-22,3
"Vilniaus apskr.","Trakų r.",2020-06-23,NA,NA,NA,NA,-22,-1
"Vilniaus apskr.","Trakų r.",2020-06-24,NA,NA,NA,NA,-70,NA
"Vilniaus apskr.","Trakų r.",2020-06-25,18,NA,NA,53,-22,4
"Vilniaus apskr.","Trakų r.",2020-06-26,23,NA,NA,62,-25,2
"Vilniaus apskr.","Trakų r.",2020-06-27,49,NA,NA,NA,12,NA
"Vilniaus apskr.","Trakų r.",2020-06-28,NA,NA,NA,NA,19,NA
"Vilniaus apskr.","Trakų r.",2020-06-29,NA,NA,NA,NA,-21,3
"Vilniaus apskr.","Trakų r.",2020-06-30,10,NA,NA,42,-18,4
"Vilniaus apskr.","Trakų r.",2020-07-01,NA,NA,NA,NA,-18,3
"Vilniaus apskr.","Trakų r.",2020-07-02,12,NA,NA,39,-19,4
"Vilniaus apskr.","Trakų r.",2020-07-03,11,NA,NA,52,-20,2
"Vilniaus apskr.","Trakų r.",2020-07-04,61,NA,NA,NA,11,NA
"Vilniaus apskr.","Trakų r.",2020-07-05,NA,NA,NA,NA,7,NA
"Vilniaus apskr.","Trakų r.",2020-07-06,NA,NA,NA,9,-74,NA
"Vilniaus apskr.","Trakų r.",2020-07-07,9,NA,NA,40,-23,5
"Vilniaus apskr.","Trakų r.",2020-07-08,NA,NA,NA,37,-20,5
"Vilniaus apskr.","Trakų r.",2020-07-09,19,NA,NA,56,-21,3
"Vilniaus apskr.","Trakų r.",2020-07-10,-2,NA,NA,48,-22,5
"Vilniaus apskr.","Trakų r.",2020-07-11,34,NA,221,NA,14,NA
"Vilniaus apskr.","Trakų r.",2020-07-12,NA,NA,NA,NA,22,NA
"Vilniaus apskr.","Trakų r.",2020-07-13,NA,NA,NA,30,-27,3
"Vilniaus apskr.","Trakų r.",2020-07-14,NA,NA,NA,48,-25,4
"Vilniaus apskr.","Trakų r.",2020-07-15,NA,NA,NA,NA,-22,4
"Vilniaus apskr.","Trakų r.",2020-07-16,NA,NA,NA,55,-24,3
"Vilniaus apskr.","Trakų r.",2020-07-17,28,NA,NA,58,-24,1
"Vilniaus apskr.","Trakų r.",2020-07-18,85,NA,NA,NA,10,NA
"Vilniaus apskr.","Trakų r.",2020-07-19,NA,NA,NA,NA,18,NA
"Vilniaus apskr.","Trakų r.",2020-07-20,NA,NA,NA,NA,-25,3
"Vilniaus apskr.","Trakų r.",2020-07-21,NA,NA,NA,48,-24,4
"Vilniaus apskr.","Trakų r.",2020-07-22,NA,NA,NA,NA,-24,5
"Vilniaus apskr.","Trakų r.",2020-07-23,17,NA,NA,42,-25,6
"Vilniaus apskr.","Trakų r.",2020-07-24,31,NA,NA,66,-26,4
"Vilniaus apskr.","Trakų r.",2020-07-25,54,NA,NA,NA,6,NA
"Vilniaus apskr.","Trakų r.",2020-07-26,NA,NA,NA,NA,23,NA
"Vilniaus apskr.","Trakų r.",2020-07-27,NA,NA,NA,NA,-25,4
"Vilniaus apskr.","Trakų r.",2020-07-28,NA,NA,NA,NA,-25,4
"Vilniaus apskr.","Trakų r.",2020-07-29,NA,NA,NA,NA,-23,3
"Vilniaus apskr.","Trakų r.",2020-07-30,NA,NA,NA,41,-26,4
"Vilniaus apskr.","Trakų r.",2020-07-31,-5,NA,NA,35,-26,6
"Vilniaus apskr.","Trakų r.",2020-08-01,44,NA,NA,NA,6,NA
"Vilniaus apskr.","Trakų r.",2020-08-02,NA,NA,NA,NA,17,NA
"Vilniaus apskr.","Trakų r.",2020-08-03,NA,NA,NA,NA,-28,3
"Vilniaus apskr.","Trakų r.",2020-08-04,NA,NA,NA,40,-24,5
"Vilniaus apskr.","Trakų r.",2020-08-05,NA,NA,NA,NA,-24,3
"Vilniaus apskr.","Trakų r.",2020-08-06,NA,NA,NA,NA,-23,2
"Vilniaus apskr.","Trakų r.",2020-08-07,46,NA,NA,70,-26,0
"Vilniaus apskr.","Trakų r.",2020-08-08,94,NA,NA,NA,7,NA
"Vilniaus apskr.","Trakų r.",2020-08-09,NA,NA,NA,NA,15,NA
"Vilniaus apskr.","Trakų r.",2020-08-10,NA,NA,NA,NA,-26,2
"Vilniaus apskr.","Trakų r.",2020-08-11,NA,NA,NA,NA,-25,2
"Vilniaus apskr.","Trakų r.",2020-08-12,NA,NA,NA,NA,-21,3
"Vilniaus apskr.","Trakų r.",2020-08-13,NA,NA,NA,52,-23,3
"Vilniaus apskr.","Trakų r.",2020-08-14,30,NA,NA,70,-24,1
"Vilniaus apskr.","Trakų r.",2020-08-15,101,NA,NA,NA,3,NA
"Vilniaus apskr.","Trakų r.",2020-08-16,NA,NA,NA,NA,11,NA
"Vilniaus apskr.","Trakų r.",2020-08-17,NA,NA,NA,NA,NA,2
"Vilniaus apskr.","Trakų r.",2020-08-18,NA,NA,NA,NA,NA,3
"Vilniaus apskr.","Trakų r.",2020-08-19,NA,NA,NA,NA,NA,4
"Vilniaus apskr.","Trakų r.",2020-08-20,NA,NA,NA,NA,NA,2
"Vilniaus apskr.","Trakų r.",2020-08-21,NA,NA,NA,NA,NA,1
"Vilniaus apskr.","Trakų r.",2020-08-24,NA,NA,NA,NA,NA,2
"Vilniaus apskr.","Trakų r.",2020-08-25,NA,NA,NA,NA,NA,4
"Vilniaus apskr.","Trakų r.",2020-08-26,NA,NA,NA,NA,NA,4
"Vilniaus apskr.","Trakų r.",2020-08-27,NA,NA,NA,NA,NA,3
"Vilniaus apskr.","Trakų r.",2020-08-28,NA,NA,NA,NA,NA,1
"Vilniaus apskr.","Trakų r.",2020-08-31,NA,NA,NA,NA,NA,4
"Vilniaus apskr.","Trakų r.",2020-09-01,NA,NA,NA,NA,NA,2
"Vilniaus apskr.","Trakų r.",2020-09-02,NA,NA,NA,NA,NA,-1
"Vilniaus apskr.","Trakų r.",2020-09-03,NA,NA,NA,NA,NA,-1
"Vilniaus apskr.","Trakų r.",2020-09-04,NA,NA,NA,NA,NA,-2
"Vilniaus apskr.","Trakų r.",2020-09-07,NA,NA,NA,NA,NA,0
"Vilniaus apskr.","Trakų r.",2020-09-08,NA,NA,NA,NA,NA,-1
"Vilniaus apskr.","Trakų r.",2020-09-09,NA,NA,NA,NA,NA,-3
"Vilniaus apskr.","Trakų r.",2020-09-10,NA,NA,NA,NA,NA,-4
"Vilniaus apskr.","Trakų r.",2020-09-11,-6,NA,NA,51,-17,-6
"Vilniaus apskr.","Trakų r.",2020-09-12,45,NA,186,NA,11,NA
"Vilniaus apskr.","Trakų r.",2020-09-13,34,NA,103,NA,5,NA
"Vilniaus apskr.","Trakų r.",2020-09-14,-7,NA,NA,47,-12,-4
"Vilniaus apskr.","Trakų r.",2020-09-15,NA,NA,NA,56,-11,-5
"Vilniaus apskr.","Trakų r.",2020-09-16,NA,NA,NA,NA,-11,-4
"Vilniaus apskr.","Trakų r.",2020-09-17,-15,NA,NA,21,-12,-1
"Vilniaus apskr.","Trakų r.",2020-09-18,-13,NA,NA,37,-13,-3
"Vilniaus apskr.","Trakų r.",2020-09-19,33,NA,138,NA,9,NA
"Vilniaus apskr.","Trakų r.",2020-09-20,43,NA,137,NA,15,NA
"Vilniaus apskr.","Trakų r.",2020-09-21,-5,NA,NA,NA,-12,-2
"Vilniaus apskr.","Trakų r.",2020-09-22,-2,NA,NA,43,-9,-2
"Vilniaus apskr.","Trakų r.",2020-09-23,4,NA,NA,NA,-8,-2
"Vilniaus apskr.","Trakų r.",2020-09-24,-5,NA,NA,34,-7,-1
"Vilniaus apskr.","Trakų r.",2020-09-25,-7,NA,NA,52,-7,-2
"Vilniaus apskr.","Trakų r.",2020-09-26,42,NA,186,NA,13,NA
"Vilniaus apskr.","Trakų r.",2020-09-27,39,NA,117,NA,15,NA
"Vilniaus apskr.","Trakų r.",2020-09-28,-17,NA,NA,35,-8,-1
"Vilniaus apskr.","Trakų r.",2020-09-29,-9,NA,NA,NA,-7,0
"Vilniaus apskr.","Trakų r.",2020-09-30,-11,NA,NA,NA,-6,-2
"Vilniaus apskr.","Trakų r.",2020-10-01,-13,NA,NA,54,-4,-2
"Vilniaus apskr.","Trakų r.",2020-10-02,-19,NA,NA,35,-5,-2
"Vilniaus apskr.","Trakų r.",2020-10-03,-17,NA,24,41,5,NA
"Vilniaus apskr.","Trakų r.",2020-10-04,15,NA,68,NA,2,NA
"Vilniaus apskr.","Trakų r.",2020-10-05,-22,NA,NA,42,-7,-2
"Vilniaus apskr.","Trakų r.",2020-10-06,-21,NA,NA,44,-7,-3
"Vilniaus apskr.","Trakų r.",2020-10-07,-10,NA,NA,NA,-4,-3
"Vilniaus apskr.","Trakų r.",2020-10-08,-20,NA,NA,45,-4,-1
"Vilniaus apskr.","Trakų r.",2020-10-09,-19,NA,NA,28,-7,-1
"Vilniaus apskr.","Trakų r.",2020-10-10,-1,NA,81,NA,5,NA
"Vilniaus apskr.","Trakų r.",2020-10-11,-11,NA,-9,NA,4,NA
"Vilniaus apskr.","Trakų r.",2020-10-12,-21,NA,NA,25,-12,1
"Vilniaus apskr.","Trakų r.",2020-10-13,-24,NA,NA,-2,-10,1
"Vilniaus apskr.","Trakų r.",2020-10-14,-24,NA,NA,33,-8,1
"Vilniaus apskr.","Trakų r.",2020-10-15,-20,NA,NA,46,-8,1
"Vilniaus apskr.","Trakų r.",2020-10-16,-28,NA,NA,54,-9,1
"Vilniaus apskr.","Trakų r.",2020-10-17,-11,NA,28,NA,-1,NA
"Vilniaus apskr.","Trakų r.",2020-10-18,-21,NA,-6,NA,-4,NA
"Vilniaus apskr.","Trakų r.",2020-10-19,-24,NA,NA,37,-10,1
"Vilniaus apskr.","Trakų r.",2020-10-20,-20,NA,NA,53,-8,1
"Vilniaus apskr.","Trakų r.",2020-10-21,-28,NA,NA,NA,-6,1
"Vilniaus apskr.","Trakų r.",2020-10-22,-25,NA,NA,46,-5,1
"Vilniaus apskr.","Trakų r.",2020-10-23,-22,NA,NA,55,-8,2
"Vilniaus apskr.","Trakų r.",2020-10-24,-27,NA,26,40,3,NA
"Vilniaus apskr.","Trakų r.",2020-10-25,15,NA,73,NA,6,NA
"Vilniaus apskr.","Trakų r.",2020-10-26,-24,NA,NA,48,-27,5
"Vilniaus apskr.","Trakų r.",2020-10-27,-26,NA,NA,49,-27,5
"Vilniaus apskr.","Trakų r.",2020-10-28,-32,NA,NA,32,-28,7
"Vilniaus apskr.","Trakų r.",2020-10-29,-41,NA,NA,20,-27,6
"Vilniaus apskr.","Trakų r.",2020-10-30,-44,NA,NA,37,-29,8
"Vilniaus apskr.","Trakų r.",2020-10-31,-40,NA,14,NA,3,NA
"Vilniaus apskr.","Trakų r.",2020-11-01,-33,NA,30,NA,-12,NA
"Vilniaus apskr.","Trakų r.",2020-11-02,-18,NA,NA,8,-78,20
"Vilniaus apskr.","Trakų r.",2020-11-03,-47,NA,NA,19,-27,8
"Vilniaus apskr.","Trakų r.",2020-11-04,-47,NA,NA,15,-25,8
"Vilniaus apskr.","Trakų r.",2020-11-05,-43,NA,NA,14,-25,9
"Vilniaus apskr.","Trakų r.",2020-11-06,-42,NA,NA,11,-25,9
"Vilniaus apskr.","Trakų r.",2020-11-07,-46,NA,11,12,4,NA
"Vilniaus apskr.","Trakų r.",2020-11-08,NA,NA,-8,-12,-10,NA
"Vilniaus apskr.","Trakų r.",2020-11-09,-50,NA,NA,7,-27,9
"Vilniaus apskr.","Trakų r.",2020-11-10,-50,NA,NA,-3,-27,9
"Vilniaus apskr.","Trakų r.",2020-11-11,-51,NA,NA,11,-25,10
"Vilniaus apskr.","Trakų r.",2020-11-12,-53,NA,NA,8,-24,10
"Vilniaus apskr.","Trakų r.",2020-11-13,-55,NA,NA,-1,-24,10
"Vilniaus apskr.","Trakų r.",2020-11-14,-48,NA,10,1,-1,NA
"Vilniaus apskr.","Trakų r.",2020-11-15,-49,NA,20,-7,-9,NA
"Vilniaus apskr.","Trakų r.",2020-11-16,-53,NA,NA,-9,-28,10
"Vilniaus apskr.","Trakų r.",2020-11-17,-52,NA,NA,-4,-28,10
"Vilniaus apskr.","Trakų r.",2020-11-18,-55,NA,NA,-6,-30,11
"Vilniaus apskr.","Trakų r.",2020-11-19,-55,NA,NA,-4,-30,10
"Vilniaus apskr.","Trakų r.",2020-11-20,-54,NA,NA,-9,-31,11
"Vilniaus apskr.","Trakų r.",2020-11-21,-40,NA,48,10,-2,NA
"Vilniaus apskr.","Trakų r.",2020-11-22,-66,NA,-53,-19,-16,NA
"Vilniaus apskr.","Trakų r.",2020-11-23,-56,NA,NA,-12,-32,10
"Vilniaus apskr.","Trakų r.",2020-11-24,-56,NA,NA,-12,-32,11
"Vilniaus apskr.","Trakų r.",2020-11-25,-57,NA,NA,1,-31,11
"Vilniaus apskr.","Trakų r.",2020-11-26,-54,NA,NA,3,-28,11
"Vilniaus apskr.","Trakų r.",2020-11-27,-58,NA,NA,1,-32,12
"Vilniaus apskr.","Trakų r.",2020-11-28,-58,NA,-12,0,-4,NA
"Vilniaus apskr.","Trakų r.",2020-11-29,NA,NA,-13,-8,-13,NA
"Vilniaus apskr.","Trakų r.",2020-11-30,-56,NA,NA,11,-32,10
"Vilniaus apskr.","Trakų r.",2020-12-01,-51,NA,NA,-13,-29,10
"Vilniaus apskr.","Trakų r.",2020-12-02,-56,NA,NA,-2,-29,11
"Vilniaus apskr.","Trakų r.",2020-12-03,-53,NA,NA,0,-29,11
"Vilniaus apskr.","Trakų r.",2020-12-04,-56,NA,NA,-13,-28,11
"Vilniaus apskr.","Trakų r.",2020-12-05,-49,NA,-11,-15,8,NA
"Vilniaus apskr.","Trakų r.",2020-12-06,-50,NA,-26,-13,-12,NA
"Vilniaus apskr.","Trakų r.",2020-12-07,-49,NA,NA,6,-31,10
"Vilniaus apskr.","Trakų r.",2020-12-08,-52,NA,NA,-6,-30,12
"Vilniaus apskr.","Trakų r.",2020-12-09,-53,NA,NA,5,-31,12
"Vilniaus apskr.","Trakų r.",2020-12-10,-57,NA,NA,-3,-31,12
"Vilniaus apskr.","Trakų r.",2020-12-11,-55,NA,NA,-5,-33,13
"Vilniaus apskr.","Trakų r.",2020-12-12,-53,NA,-17,-12,-2,NA
"Vilniaus apskr.","Trakų r.",2020-12-13,NA,NA,1,-18,-18,NA
"Vilniaus apskr.","Trakų r.",2020-12-14,-44,NA,NA,-1,-38,11
"Vilniaus apskr.","Trakų r.",2020-12-15,-36,NA,NA,18,-38,8
"Vilniaus apskr.","Trakų r.",2020-12-16,NA,NA,NA,-22,-43,17
"Vilniaus apskr.","Trakų r.",2020-12-17,-69,NA,NA,-5,-42,17
"Vilniaus apskr.","Trakų r.",2020-12-18,-78,NA,-34,-20,-42,20
"Vilniaus apskr.","Trakų r.",2020-12-19,-81,NA,-62,-36,-14,NA
"Vilniaus apskr.","Trakų r.",2020-12-20,NA,NA,-64,-32,-27,NA
"Vilniaus apskr.","Trakų r.",2020-12-21,NA,NA,NA,-8,-47,16
"Vilniaus apskr.","Trakų r.",2020-12-22,-66,NA,NA,2,-48,15
"Vilniaus apskr.","Trakų r.",2020-12-23,-70,NA,NA,7,-51,17
"Vilniaus apskr.","Trakų r.",2020-12-24,NA,NA,-44,-53,-84,32
"Vilniaus apskr.","Trakų r.",2020-12-25,NA,NA,-36,-69,-88,39
"Vilniaus apskr.","Trakų r.",2020-12-26,NA,NA,-54,-55,-46,NA
"Vilniaus apskr.","Trakų r.",2020-12-27,NA,NA,-55,-43,-38,NA
"Vilniaus apskr.","Trakų r.",2020-12-28,NA,NA,NA,-28,-53,20
"Vilniaus apskr.","Trakų r.",2020-12-29,NA,NA,NA,-27,-55,21
"Vilniaus apskr.","Trakų r.",2020-12-30,-66,NA,NA,-10,-53,18
"Vilniaus apskr.","Trakų r.",2020-12-31,-73,NA,NA,-23,-64,24
"Vilniaus apskr.","Ukmergės r.",2020-02-15,2,-6,NA,NA,NA,NA
"Vilniaus apskr.","Ukmergės r.",2020-02-16,14,-15,NA,NA,NA,NA
"Vilniaus apskr.","Ukmergės r.",2020-02-17,5,-15,NA,NA,-13,3
"Vilniaus apskr.","Ukmergės r.",2020-02-18,6,-10,NA,NA,-14,3
"Vilniaus apskr.","Ukmergės r.",2020-02-19,2,-14,NA,NA,-12,4
"Vilniaus apskr.","Ukmergės r.",2020-02-20,0,-16,NA,NA,-13,1
"Vilniaus apskr.","Ukmergės r.",2020-02-21,0,-10,NA,NA,-15,2
"Vilniaus apskr.","Ukmergės r.",2020-02-22,2,-12,NA,NA,NA,NA
"Vilniaus apskr.","Ukmergės r.",2020-02-23,9,-14,NA,NA,NA,NA
"Vilniaus apskr.","Ukmergės r.",2020-02-24,9,-10,NA,NA,5,0
"Vilniaus apskr.","Ukmergės r.",2020-02-25,0,-14,NA,NA,2,0
"Vilniaus apskr.","Ukmergės r.",2020-02-26,2,-19,NA,NA,4,0
"Vilniaus apskr.","Ukmergės r.",2020-02-27,7,-11,NA,NA,2,0
"Vilniaus apskr.","Ukmergės r.",2020-02-28,11,-10,NA,NA,6,0
"Vilniaus apskr.","Ukmergės r.",2020-02-29,2,-11,NA,NA,NA,NA
"Vilniaus apskr.","Ukmergės r.",2020-03-01,3,-20,NA,NA,NA,NA
