"day","age_group","confirmed","confirmed_100k","confirmed_male","confirmed_male_100k","confirmed_female","confirmed_female_100k","other","total","population","population_male","population_female","downloaded"
2020-05-31,"40-49",268,72.5,109,59.3,159,85.6,0,268,369722,183873,185849,2020-06-01 15:44:35
2020-05-31,"50-59",375,89.5,128,65.2,247,111,0,375,419039,196469,222570,2020-06-01 15:44:35
2020-05-31,"60-69",251,71.5,104,70.4,147,72.3,0,251,351248,147788,203460,2020-06-01 15:44:35
2020-05-31,"70-79",137,57.8,63,77.1,74,47.7,0,137,236890,81674,155216,2020-06-01 15:44:35
2020-05-31,"Virš 80",161,97.8,47,106.2,114,94.8,0,161,164546,44257,120289,2020-06-01 15:44:35
2020-06-01,"0-9",19,6.5,9,6,10,7.1,0,19,290102,148908,141194,2020-06-02 12:21:13
2020-06-01,"10-19",44,16.7,20,14.8,24,18.7,0,44,263568,134947,128621,2020-06-02 12:21:13
2020-06-01,"20-29",217,63.9,106,59.7,111,68.4,0,217,339736,177466,162270,2020-06-02 12:21:13
2020-06-01,"30-39",209,58.2,110,58.2,99,58.1,0,209,359239,188972,170267,2020-06-02 12:21:13
2020-06-01,"40-49",268,72.5,109,59.3,159,85.6,0,268,369722,183873,185849,2020-06-02 12:21:13
2020-06-01,"50-59",375,89.5,128,65.2,247,111,0,375,419039,196469,222570,2020-06-02 12:21:13
2020-06-01,"60-69",252,71.7,105,71,147,72.3,0,252,351248,147788,203460,2020-06-02 12:21:13
2020-06-01,"70-79",137,57.8,63,77.1,74,47.7,0,137,236890,81674,155216,2020-06-02 12:21:13
2020-06-01,"Virš 80",161,97.8,47,106.2,114,94.8,0,161,164546,44257,120289,2020-06-02 12:21:13
2020-06-02,"0-9",19,6.5,9,6,10,7.1,0,19,290102,148908,141194,2020-06-03 11:57:17
2020-06-02,"10-19",44,16.7,20,14.8,24,18.7,0,44,263568,134947,128621,2020-06-03 11:57:17
2020-06-02,"20-29",217,63.9,106,59.7,111,68.4,0,217,339736,177466,162270,2020-06-03 11:57:17
2020-06-02,"30-39",211,58.7,111,58.7,100,58.7,0,211,359239,188972,170267,2020-06-03 11:57:17
2020-06-02,"40-49",268,72.5,109,59.3,159,85.6,0,268,369722,183873,185849,2020-06-03 11:57:17
2020-06-02,"50-59",375,89.5,128,65.2,247,111,0,375,419039,196469,222570,2020-06-03 11:57:17
2020-06-02,"60-69",252,71.7,105,71,147,72.3,0,252,351248,147788,203460,2020-06-03 11:57:17
2020-06-02,"70-79",137,57.8,63,77.1,74,47.7,0,137,236890,81674,155216,2020-06-03 11:57:17
2020-06-02,"Virš 80",161,97.8,47,106.2,114,94.8,0,161,164546,44257,120289,2020-06-03 11:57:17
2020-06-03,"0-9",19,6.5,9,6,10,7.1,0,19,290102,148908,141194,2020-06-04 10:56:23
2020-06-03,"10-19",44,16.7,20,14.8,24,18.7,0,44,263568,134947,128621,2020-06-04 10:56:23
2020-06-03,"20-29",217,63.9,106,59.7,111,68.4,0,217,339736,177466,162270,2020-06-04 10:56:23
2020-06-03,"30-39",211,58.7,111,58.7,100,58.7,0,211,359239,188972,170267,2020-06-04 10:56:23
2020-06-03,"40-49",268,72.5,109,59.3,159,85.6,0,268,369722,183873,185849,2020-06-04 10:56:23
2020-06-03,"50-59",375,89.5,128,65.2,247,111,0,375,419039,196469,222570,2020-06-04 10:56:23
2020-06-03,"60-69",252,71.7,105,71,147,72.3,0,252,351248,147788,203460,2020-06-04 10:56:23
2020-06-03,"70-79",137,57.8,63,77.1,74,47.7,0,137,236890,81674,155216,2020-06-04 10:56:23
2020-06-03,"Virš 80",161,97.8,47,106.2,114,94.8,0,161,164546,44257,120289,2020-06-04 10:56:23
2020-06-04,"0-9",19,6.5,9,6,10,7.1,0,19,290102,148908,141194,2020-06-05 10:19:16
2020-06-04,"10-19",44,16.7,20,14.8,24,18.7,0,44,263568,134947,128621,2020-06-05 10:19:16
2020-06-04,"20-29",219,64.5,107,60.3,112,69,0,219,339736,177466,162270,2020-06-05 10:19:16
2020-06-04,"30-39",211,58.7,111,58.7,100,58.7,0,211,359239,188972,170267,2020-06-05 10:19:16
2020-06-04,"40-49",268,72.5,109,59.3,159,85.6,0,268,369722,183873,185849,2020-06-05 10:19:16
2020-06-04,"50-59",376,89.7,129,65.7,247,111,0,376,419039,196469,222570,2020-06-05 10:19:16
2020-06-04,"60-69",252,71.7,105,71,147,72.3,0,252,351248,147788,203460,2020-06-05 10:19:16
2020-06-04,"70-79",137,57.8,63,77.1,74,47.7,0,137,236890,81674,155216,2020-06-05 10:19:16
2020-06-04,"Virš 80",161,97.8,47,106.2,114,94.8,0,161,164546,44257,120289,2020-06-05 10:19:16
2020-06-05,"0-9",19,6.5,9,6,10,7.1,0,19,290102,148908,141194,2020-06-06 18:08:07
2020-06-05,"10-19",44,16.7,20,14.8,24,18.7,0,44,263568,134947,128621,2020-06-06 18:08:07
2020-06-05,"20-29",222,65.3,108,60.9,114,70.3,0,222,339736,177466,162270,2020-06-06 18:08:07
2020-06-05,"30-39",213,59.3,112,59.3,101,59.3,0,213,359239,188972,170267,2020-06-06 18:08:07
2020-06-05,"40-49",271,73.3,111,60.4,160,86.1,0,271,369722,183873,185849,2020-06-06 18:08:07
2020-06-05,"50-59",381,90.9,131,66.7,250,112.3,0,381,419039,196469,222570,2020-06-06 18:08:07
2020-06-05,"60-69",257,73.2,109,73.8,148,72.7,0,257,351248,147788,203460,2020-06-06 18:08:07
2020-06-05,"70-79",137,57.8,63,77.1,74,47.7,0,137,236890,81674,155216,2020-06-06 18:08:07
2020-06-05,"Virš 80",161,97.8,47,106.2,114,94.8,0,161,164546,44257,120289,2020-06-06 18:08:07
2020-06-06,"0-9",19,6.5,9,6,10,7.1,0,19,290102,148908,141194,2020-06-07 12:03:22
2020-06-06,"10-19",44,16.7,20,14.8,24,18.7,0,44,263568,134947,128621,2020-06-07 12:03:22
2020-06-06,"20-29",224,65.9,110,62,114,70.3,0,224,339736,177466,162270,2020-06-07 12:03:22
2020-06-06,"30-39",213,59.3,112,59.3,101,59.3,0,213,359239,188972,170267,2020-06-07 12:03:22
2020-06-06,"40-49",275,74.4,113,61.5,162,87.2,0,275,369722,183873,185849,2020-06-07 12:03:22
2020-06-06,"50-59",384,91.6,132,67.2,252,113.2,0,384,419039,196469,222570,2020-06-07 12:03:22
2020-06-06,"60-69",257,73.2,109,73.8,148,72.7,0,257,351248,147788,203460,2020-06-07 12:03:22
2020-06-06,"70-79",137,57.8,63,77.1,74,47.7,0,137,236890,81674,155216,2020-06-07 12:03:22
2020-06-06,"Virš 80",161,97.8,47,106.2,114,94.8,0,161,164546,44257,120289,2020-06-07 12:03:22
2020-06-07,"0-9",19,6.5,9,6,10,7.1,0,19,290102,148908,141194,2020-06-08 21:29:30
2020-06-07,"10-19",44,16.7,20,14.8,24,18.7,0,44,263568,134947,128621,2020-06-08 21:29:30
2020-06-07,"20-29",224,65.9,110,62,114,70.3,0,224,339736,177466,162270,2020-06-08 21:29:30
2020-06-07,"30-39",213,59.3,112,59.3,101,59.3,0,213,359239,188972,170267,2020-06-08 21:29:30
2020-06-07,"40-49",277,74.9,115,62.5,162,87.2,0,277,369722,183873,185849,2020-06-08 21:29:30
2020-06-07,"50-59",384,91.6,132,67.2,252,113.2,0,384,419039,196469,222570,2020-06-08 21:29:30
2020-06-07,"60-69",257,73.2,109,73.8,148,72.7,0,257,351248,147788,203460,2020-06-08 21:29:30
