"OBJECTID","SAV_ID","SAV_PAV","APSK_ID","APSKRITIS","TYRIMAI","TEIGIAMI","VYRAI","MOTERYS","GYDOMA","PASVEIKO","MIRE","ATNUJINTA","ATVEJAI_14"
57,"72","Raseinių r.","2","Kauno apskr.",NA,6,1,5,0,5,1,2020-06-03 08:52:51,0
59,"13","Vilniaus m.","10","Vilniaus apskr.",NA,437,188,249,142,273,17,2020-06-03 08:52:52,47
60,"87","Šilalės r.","7","Tauragės apskr.",NA,3,2,1,0,3,0,2020-06-03 08:52:53,0
26,"21","Klaipėdos m.","3","Klaipėdos apskr.",NA,274,90,184,46,212,16,2020-06-03 08:52:54,4
20,"30","Visagino","9","Utenos apskr.",NA,3,1,2,0,3,0,2020-06-03 08:52:54,0
58,"67","Pasvalio r.","5","Panevėžio apskr.",NA,4,3,1,1,3,0,2020-06-03 08:52:55,0
21,"27","Panevėžio m.","5","Panevėžio apskr.",NA,21,13,8,0,20,1,2020-06-03 08:52:56,0
29,"29","Šiaulių m.","6","Šiaulių apskr.",NA,14,9,5,1,12,1,2020-06-03 08:52:56,1
30,"12","Birštono","2","Kauno apskr.",NA,0,0,0,0,0,0,2020-06-03 08:52:57,0
43,"65","Pakruojo r.","6","Šiaulių apskr.",NA,0,0,0,0,0,0,2020-06-03 08:52:57,0
