"administrative_level_2","administrative_level_3","age_gr","at_risk"
"Klaipėdos apskr.","Palangos m.","30-39",734
"Šiaulių apskr.","Radviliškio r.","80+",1603
"Vilniaus apskr.","Vilniaus r.","30-39",5270
"Alytaus apskr.","Druskininkų","20-29",967
"Marijampolės apskr.","Kalvarijos","30-39",410
"Klaipėdos apskr.","Neringos","30-39",193
"Kauno apskr.","Raseinių r.","80+",556
"Tauragės apskr.","Jurbarko r.","70-79",1610
"Panevėžio apskr.","Kupiškio r.","70-79",1083
"Kauno apskr.","Kėdainių r.","80+",2138
"Telšių apskr.","Mažeikių r.","50-59",3307
"Alytaus apskr.","Alytaus r.","40-49",1313
"Kauno apskr.","Kauno r.","70-79",3911
"Panevėžio apskr.","Kupiškio r.","50-59",1294
"Telšių apskr.","Rietavo","80+",305
"Utenos apskr.","Zarasų r.","30-39",318
"Alytaus apskr.","Alytaus m.","70-79",1576
"Kauno apskr.","Kėdainių r.","50-59",3098
"Vilniaus apskr.","Vilniaus r.","70-79",2386
"Klaipėdos apskr.","Šilutės r.","60-69",1979
"Utenos apskr.","Anykščių r.","20-29",1211
"Kauno apskr.","Kaišiadorių r.","80+",1181
"Šiaulių apskr.","Pakruojo r.","40-49",974
"Vilniaus apskr.","Vilniaus r.","40-49",6209
"Alytaus apskr.","Alytaus r.","60-69",1650
"Panevėžio apskr.","Biržų r.","20-29",1271
"Kauno apskr.","Kėdainių r.","20-29",2659
"Tauragės apskr.","Tauragės r.","30-39",1410
"Marijampolės apskr.","Marijampolės","60-69",2894
"Šiaulių apskr.","Radviliškio r.","60-69",2021
"Utenos apskr.","Utenos r.","60-69",2138
"Alytaus apskr.","Varėnos r.","50-59",1683
"Alytaus apskr.","Lazdijų r.","30-39",438
"Telšių apskr.","Telšių r.","50-59",2512
"Utenos apskr.","Visagino m.","60-69",1715
"Vilniaus apskr.","Švenčionių r.","70-79",1395
"Alytaus apskr.","Alytaus m.","70-79",3052
"Telšių apskr.","Mažeikių r.","70-79",2526
"Telšių apskr.","Telšių r.","30-39",1035
"Tauragės apskr.","Šilalės r.","20-29",1133
"Panevėžio apskr.","Kupiškio r.","80+",337
"Tauragės apskr.","Pagėgių","30-39",134
"Utenos apskr.","Visagino m.","30-39",627
"Utenos apskr.","Visagino m.","50-59",1282
"Vilniaus apskr.","Elektrėnų","80+",320
"Panevėžio apskr.","Panevėžio m.","40-49",4221
"Šiaulių apskr.","Šiaulių m.","20-29",4528
"Šiaulių apskr.","Šiaulių m.","70-79",5430
"Utenos apskr.","Anykščių r.","50-59",1948
"Šiaulių apskr.","Joniškio r.","70-79",1362
"Panevėžio apskr.","Panevėžio m.","30-39",3437
"Panevėžio apskr.","Panevėžio r.","60-69",2284
"Marijampolės apskr.","Kazlų Rūdos","70-79",388
"Marijampolės apskr.","Kazlų Rūdos","80+",185
"Marijampolės apskr.","Vilkaviškio r.","30-39",776
"Utenos apskr.","Zarasų r.","20-29",845
"Alytaus apskr.","Alytaus r.","20-29",1138
"Klaipėdos apskr.","Kretingos r.","60-69",1923
"Tauragės apskr.","Tauragės r.","80+",567
"Vilniaus apskr.","Ukmergės r.","70-79",1097
"Utenos apskr.","Zarasų r.","40-49",770
"Tauragės apskr.","Jurbarko r.","30-39",593
"Marijampolės apskr.","Kalvarijos","70-79",232
"Šiaulių apskr.","Radviliškio r.","30-39",865
"Utenos apskr.","Visagino m.","40-49",821
"Panevėžio apskr.","Panevėžio r.","60-69",2136
"Kauno apskr.","Raseinių r.","70-79",1019
"Marijampolės apskr.","Vilkaviškio r.","60-69",2498
"Kauno apskr.","Birštono","50-59",306
"Kauno apskr.","Jonavos r.","80+",508
"Utenos apskr.","Molėtų r.","20-29",900
"Tauragės apskr.","Tauragės r.","50-59",2509
"Tauragės apskr.","Jurbarko r.","50-59",1826
"Kauno apskr.","Kauno m.","70-79",16922
"Panevėžio apskr.","Panevėžio r.","50-59",2561
"Vilniaus apskr.","Širvintų r.","50-59",1110
"Kauno apskr.","Kauno m.","20-29",15959
"Marijampolės apskr.","Marijampolės","30-39",3122
"Telšių apskr.","Mažeikių r.","40-49",2755
"Telšių apskr.","Telšių r.","20-29",1994
"Vilniaus apskr.","Elektrėnų","30-39",1092
"Tauragės apskr.","Pagėgių","30-39",285
"Telšių apskr.","Plungės r.","80+",550
"Alytaus apskr.","Varėnos r.","40-49",994
"Kauno apskr.","Jonavos r.","50-59",2523
"Alytaus apskr.","Lazdijų r.","80+",433
"Telšių apskr.","Mažeikių r.","60-69",2668
"Šiaulių apskr.","Pakruojo r.","20-29",1216
"Telšių apskr.","Rietavo","30-39",158
"Šiaulių apskr.","Akmenės r.","80+",969
"Panevėžio apskr.","Pasvalio r.","70-79",753
"Telšių apskr.","Plungės r.","60-69",2022
"Tauragės apskr.","Šilalės r.","80+",293
"Kauno apskr.","Birštono","20-29",193
"Kauno apskr.","Kaišiadorių r.","30-39",2602
"Panevėžio apskr.","Panevėžio m.","20-29",4011
"Utenos apskr.","Utenos r.","80+",654
"Kauno apskr.","Jonavos r.","30-39",1547
"Panevėžio apskr.","Rokiškio r.","50-59",2270
"Marijampolės apskr.","Šakių r.","80+",1302
"Vilniaus apskr.","Šalčininkų r.","20-29",1821
"Kauno apskr.","Kauno r.","30-39",5732
"Klaipėdos apskr.","Klaipėdos m.","80+",2395
"Klaipėdos apskr.","Klaipėdos r.","40-49",4787
"Panevėžio apskr.","Panevėžio r.","40-49",1942
"Panevėžio apskr.","Biržų r.","30-39",758
"Panevėžio apskr.","Biržų r.","40-49",1197
"Marijampolės apskr.","Kalvarijos","60-69",563
"Kauno apskr.","Raseinių r.","20-29",1911
"Šiaulių apskr.","Kelmės r.","40-49",1247
"Klaipėdos apskr.","Kretingos r.","50-59",2512
"Šiaulių apskr.","Pakruojo r.","50-59",1394
"Vilniaus apskr.","Vilniaus m.","40-49",35934
"Kauno apskr.","Kauno m.","80+",12888
"Klaipėdos apskr.","Kretingos r.","20-29",2250
"Klaipėdos apskr.","Palangos m.","50-59",1247
"Marijampolės apskr.","Vilkaviškio r.","40-49",1867
"Panevėžio apskr.","Kupiškio r.","80+",947
"Kauno apskr.","Kėdainių r.","80+",751
"Panevėžio apskr.","Rokiškio r.","30-39",476
"Vilniaus apskr.","Vilniaus m.","30-39",52954
"Klaipėdos apskr.","Klaipėdos m.","50-59",7798
"Klaipėdos apskr.","Kretingos r.","20-29",1862
"Šiaulių apskr.","Šiaulių r.","80+",1613
"Klaipėdos apskr.","Šilutės r.","30-39",1036
"Šiaulių apskr.","Akmenės r.","70-79",608
"Klaipėdos apskr.","Klaipėdos r.","80+",733
"Klaipėdos apskr.","Kretingos r.","30-39",1633
"Vilniaus apskr.","Ukmergės r.","50-59",2546
"Tauragės apskr.","Jurbarko r.","50-59",1811
"Klaipėdos apskr.","Klaipėdos m.","30-39",8922
"Vilniaus apskr.","Šalčininkų r.","20-29",1335
"Utenos apskr.","Molėtų r.","30-39",798
"Alytaus apskr.","Varėnos r.","20-29",1027
"Šiaulių apskr.","Šiaulių r.","30-39",1863
"Marijampolės apskr.","Kalvarijos","20-29",689
"Kauno apskr.","Kauno m.","40-49",15093
"Klaipėdos apskr.","Palangos m.","70-79",1055
"Panevėžio apskr.","Pasvalio r.","30-39",831
"Kauno apskr.","Kauno r.","40-49",6463
"Šiaulių apskr.","Kelmės r.","50-59",1793
"Panevėžio apskr.","Kupiškio r.","20-29",838
"Panevėžio apskr.","Rokiškio r.","70-79",927
"Telšių apskr.","Telšių r.","50-59",2602
"Telšių apskr.","Telšių r.","80+",654
"Vilniaus apskr.","Švenčionių r.","60-69",1396
"Alytaus apskr.","Alytaus m.","80+",1993
"Alytaus apskr.","Druskininkų","20-29",1033
"Panevėžio apskr.","Panevėžio m.","80+",1474
"Šiaulių apskr.","Joniškio r.","60-69",1556
"Vilniaus apskr.","Trakų r.","50-59",2312
"Šiaulių apskr.","Šiaulių r.","50-59",3063
"Šiaulių apskr.","Akmenės r.","70-79",1265
"Kauno apskr.","Kaišiadorių r.","40-49",2000
"Šiaulių apskr.","Pakruojo r.","70-79",1135
"Klaipėdos apskr.","Kretingos r.","40-49",2033
"Vilniaus apskr.","Vilniaus m.","80+",7182
"Vilniaus apskr.","Šalčininkų r.","30-39",1011
"Kauno apskr.","Birštono","70-79",239
"Klaipėdos apskr.","Klaipėdos m.","40-49",8489
"Kauno apskr.","Raseinių r.","70-79",1820
"Alytaus apskr.","Alytaus r.","30-39",719
"Alytaus apskr.","Lazdijų r.","80+",1107
"Utenos apskr.","Molėtų r.","50-59",1428
"Vilniaus apskr.","Vilniaus r.","60-69",4798
"Kauno apskr.","Birštono","20-29",205
"Šiaulių apskr.","Kelmės r.","50-59",1935
"Vilniaus apskr.","Širvintų r.","20-29",934
"Marijampolės apskr.","Kazlų Rūdos","20-29",548
"Utenos apskr.","Utenos r.","50-59",2979
"Tauragės apskr.","Šilalės r.","40-49",1029
"Alytaus apskr.","Alytaus r.","70-79",964
"Tauragės apskr.","Pagėgių","20-29",484
"Panevėžio apskr.","Rokiškio r.","20-29",1678
"Alytaus apskr.","Druskininkų","80+",1019
"Klaipėdos apskr.","Palangos m.","60-69",985
"Utenos apskr.","Utenos r.","80+",1848
"Klaipėdos apskr.","Palangos m.","20-29",755
"Telšių apskr.","Plungės r.","40-49",1653
"Vilniaus apskr.","Trakų r.","20-29",1612
"Klaipėdos apskr.","Kretingos r.","40-49",1927
"Klaipėdos apskr.","Neringos","80+",77
"Šiaulių apskr.","Šiaulių m.","80+",4251
"Šiaulių apskr.","Akmenės r.","20-29",902
"Alytaus apskr.","Druskininkų","40-49",921
"Šiaulių apskr.","Šiaulių r.","30-39",1431
"Šiaulių apskr.","Pakruojo r.","60-69",1102
"Panevėžio apskr.","Panevėžio m.","70-79",2517
"Vilniaus apskr.","Širvintų r.","30-39",742
"Marijampolės apskr.","Kalvarijos","60-69",622
"Alytaus apskr.","Varėnos r.","30-39",458
"Klaipėdos apskr.","Šilutės r.","40-49",1823
"Tauragės apskr.","Jurbarko r.","20-29",1597
"Utenos apskr.","Utenos r.","30-39",2060
"Marijampolės apskr.","Šakių r.","30-39",1064
"Tauragės apskr.","Pagėgių","70-79",383
"Šiaulių apskr.","Radviliškio r.","40-49",1748
"Šiaulių apskr.","Šiaulių m.","60-69",4466
"Kauno apskr.","Jonavos r.","60-69",2055
"Marijampolės apskr.","Kazlų Rūdos","20-29",663
"Utenos apskr.","Molėtų r.","30-39",452
"Marijampolės apskr.","Kazlų Rūdos","50-59",786
"Klaipėdos apskr.","Klaipėdos r.","70-79",1409
"Vilniaus apskr.","Trakų r.","30-39",2287
"Šiaulių apskr.","Kelmės r.","40-49",1275
"Klaipėdos apskr.","Palangos m.","40-49",882
"Kauno apskr.","Prienų r.","80+",1330
"Alytaus apskr.","Alytaus m.","60-69",2688
"Kauno apskr.","Kauno m.","20-29",15463
"Panevėžio apskr.","Panevėžio r.","80+",1447
"Utenos apskr.","Molėtų r.","50-59",1283
"Vilniaus apskr.","Vilniaus m.","60-69",20777
"Marijampolės apskr.","Šakių r.","70-79",813
"Šiaulių apskr.","Joniškio r.","80+",345
"Marijampolės apskr.","Kalvarijos","20-29",547
"Vilniaus apskr.","Vilniaus r.","50-59",6381
"Panevėžio apskr.","Rokiškio r.","60-69",1848
"Utenos apskr.","Zarasų r.","20-29",749
"Marijampolės apskr.","Šakių r.","50-59",2004
"Kauno apskr.","Jonavos r.","70-79",2278
"Panevėžio apskr.","Pasvalio r.","30-39",381
"Panevėžio apskr.","Rokiškio r.","80+",606
"Šiaulių apskr.","Joniškio r.","70-79",716
"Utenos apskr.","Utenos r.","50-59",2892
"Utenos apskr.","Visagino m.","20-29",626
"Kauno apskr.","Birštono","70-79",121
"Panevėžio apskr.","Panevėžio r.","30-39",1611
"Kauno apskr.","Prienų r.","20-29",1534
"Kauno apskr.","Kėdainių r.","30-39",1842
"Kauno apskr.","Raseinių r.","60-69",1694
"Utenos apskr.","Zarasų r.","80+",290
"Telšių apskr.","Plungės r.","50-59",2210
"Vilniaus apskr.","Trakų r.","70-79",785
"Vilniaus apskr.","Trakų r.","80+",432
"Utenos apskr.","Anykščių r.","30-39",524
"Panevėžio apskr.","Panevėžio m.","40-49",4515
"Alytaus apskr.","Druskininkų","50-59",1676
"Šiaulių apskr.","Šiaulių r.","50-59",2898
"Alytaus apskr.","Varėnos r.","40-49",1071
"Vilniaus apskr.","Širvintų r.","40-49",887
"Panevėžio apskr.","Rokiškio r.","80+",1632
"Vilniaus apskr.","Švenčionių r.","30-39",642
"Alytaus apskr.","Alytaus m.","20-29",2691
"Utenos apskr.","Molėtų r.","20-29",1178
"Klaipėdos apskr.","Klaipėdos r.","40-49",3537
"Kauno apskr.","Raseinių r.","40-49",1589
"Kauno apskr.","Jonavos r.","80+",1548
"Kauno apskr.","Prienų r.","30-39",811
"Telšių apskr.","Rietavo","20-29",416
"Šiaulių apskr.","Pakruojo r.","20-29",916
"Utenos apskr.","Utenos r.","20-29",1909
"Telšių apskr.","Plungės r.","60-69",1626
"Šiaulių apskr.","Šiaulių m.","70-79",2489
"Šiaulių apskr.","Joniškio r.","40-49",1137
"Tauragės apskr.","Jurbarko r.","20-29",1196
"Alytaus apskr.","Alytaus r.","20-29",1509
"Panevėžio apskr.","Kupiškio r.","30-39",627
"Panevėžio apskr.","Biržų r.","60-69",1335
"Kauno apskr.","Kaišiadorių r.","20-29",1427
"Panevėžio apskr.","Pasvalio r.","50-59",1744
"Marijampolės apskr.","Vilkaviškio r.","30-39",1449
"Tauragės apskr.","Pagėgių","40-49",396
"Tauragės apskr.","Tauragės r.","60-69",1969
"Šiaulių apskr.","Akmenės r.","30-39",570
"Utenos apskr.","Zarasų r.","50-59",1146
"Marijampolės apskr.","Šakių r.","20-29",1838
"Marijampolės apskr.","Šakių r.","40-49",1314
"Kauno apskr.","Birštono","60-69",373
"Šiaulių apskr.","Radviliškio r.","30-39",1484
"Klaipėdos apskr.","Kretingos r.","60-69",2410
"Klaipėdos apskr.","Neringos","70-79",119
"Vilniaus apskr.","Elektrėnų","50-59",1594
"Vilniaus apskr.","Trakų r.","30-39",1652
"Klaipėdos apskr.","Klaipėdos r.","80+",1701
"Marijampolės apskr.","Šakių r.","80+",533
"Telšių apskr.","Telšių r.","60-69",2150
"Vilniaus apskr.","Ukmergės r.","20-29",1555
"Šiaulių apskr.","Akmenės r.","80+",325
"Kauno apskr.","Kėdainių r.","40-49",2376
"Panevėžio apskr.","Biržų r.","30-39",512
"Utenos apskr.","Visagino m.","60-69",2171
"Alytaus apskr.","Lazdijų r.","20-29",923
"Klaipėdos apskr.","Neringos","20-29",209
"Alytaus apskr.","Alytaus m.","50-59",3218
"Klaipėdos apskr.","Šilutės r.","20-29",1941
"Utenos apskr.","Zarasų r.","40-49",691
"Tauragės apskr.","Šilalės r.","70-79",591
"Tauragės apskr.","Jurbarko r.","80+",376
"Kauno apskr.","Kauno r.","50-59",6022
"Klaipėdos apskr.","Kretingos r.","80+",1567
"Šiaulių apskr.","Pakruojo r.","40-49",1027
"Kauno apskr.","Jonavos r.","60-69",2873
"Vilniaus apskr.","Širvintų r.","80+",245
"Klaipėdos apskr.","Klaipėdos m.","70-79",7566
"Klaipėdos apskr.","Neringos","50-59",267
"Kauno apskr.","Jonavos r.","50-59",2729
"Alytaus apskr.","Lazdijų r.","70-79",615
"Kauno apskr.","Kauno m.","70-79",7894
"Klaipėdos apskr.","Neringos","40-49",285
"Vilniaus apskr.","Šalčininkų r.","60-69",1737
"Kauno apskr.","Jonavos r.","70-79",1208
"Klaipėdos apskr.","Neringos","50-59",249
"Panevėžio apskr.","Biržų r.","40-49",1196
"Klaipėdos apskr.","Neringos","70-79",74
"Panevėžio apskr.","Panevėžio m.","70-79",5485
"Telšių apskr.","Mažeikių r.","60-69",3523
"Telšių apskr.","Mažeikių r.","40-49",2704
"Tauragės apskr.","Šilalės r.","20-29",1560
"Panevėžio apskr.","Kupiškio r.","40-49",819
"Šiaulių apskr.","Pakruojo r.","70-79",633
"Vilniaus apskr.","Širvintų r.","80+",684
"Telšių apskr.","Telšių r.","40-49",1923
"Kauno apskr.","Kauno m.","50-59",18108
"Kauno apskr.","Kauno r.","40-49",5751
