"administrative_level_2","administrative_level_3","age_gr","at_risk"
"Šiaulių apskr.","Šiaulių m.","80+",1422
"Šiaulių apskr.","Šiaulių r.","60-69",2437
"Kauno apskr.","Birštono","80+",250
"Vilniaus apskr.","Elektrėnų","40-49",1802
"Kauno apskr.","Kaišiadorių r.","60-69",1879
"Šiaulių apskr.","Kelmės r.","70-79",1555
"Panevėžio apskr.","Panevėžio m.","80+",4271
"Kauno apskr.","Prienų r.","60-69",1772
"Telšių apskr.","Rietavo","70-79",358
"Vilniaus apskr.","Šalčininkų r.","80+",1114
"Utenos apskr.","Ignalinos r.","70-79",610
"Kauno apskr.","Kėdainių r.","60-69",2408
"Klaipėdos apskr.","Palangos m.","70-79",590
"Šiaulių apskr.","Radviliškio r.","60-69",2442
"Telšių apskr.","Rietavo","60-69",406
"Utenos apskr.","Utenos r.","40-49",2206
"Marijampolės apskr.","Vilkaviškio r.","40-49",1863
"Tauragės apskr.","Šilalės r.","50-59",1435
"Klaipėdos apskr.","Klaipėdos m.","60-69",6973
"Alytaus apskr.","Lazdijų r.","40-49",876
"Panevėžio apskr.","Rokiškio r.","20-29",1431
"Vilniaus apskr.","Ukmergės r.","60-69",1851
"Marijampolės apskr.","Vilkaviškio r.","50-59",2501
"Vilniaus apskr.","Vilniaus m.","70-79",24752
"Vilniaus apskr.","Švenčionių r.","20-29",1091
"Alytaus apskr.","Druskininkų","30-39",822
"Vilniaus apskr.","Elektrėnų","80+",885
"Klaipėdos apskr.","Kretingos r.","80+",617
"Marijampolės apskr.","Marijampolės","50-59",3641
"Telšių apskr.","Telšių r.","70-79",1228
"Alytaus apskr.","Varėnos r.","30-39",809
"Vilniaus apskr.","Švenčionių r.","40-49",1289
"Vilniaus apskr.","Elektrėnų","60-69",1266
"Alytaus apskr.","Lazdijų r.","60-69",1213
"Marijampolės apskr.","Marijampolės","70-79",2591
"Panevėžio apskr.","Pasvalio r.","60-69",1556
"Utenos apskr.","Visagino m.","40-49",752
