"OBJECTID","SAV_ID","SAV_PAV","APSK_ID","APSKRITIS","TYRIMAI","TEIGIAMI","VYRAI","MOTERYS","GYDOMA","PASVEIKO","MIRE","ATNUJINTA","ATVEJAI_14"
27,"57","Kupiškio r.","5","Panevėžio apskr.",NA,1,1,0,0,1,0,2020-05-29 11:07:44,0
28,"75","Skuodo r.","3","Klaipėdos apskr.",NA,2,0,2,0,2,0,2020-05-29 11:07:44,0
31,"25","Palangos m.","3","Klaipėdos apskr.",NA,12,6,6,5,6,1,2020-05-29 11:07:45,0
32,"63","Pagėgių","7","Tauragės apskr.",NA,1,0,1,0,1,0,2020-05-29 11:07:45,0
33,"85","Šalčininkų r.","10","Vilniaus apskr.",NA,12,5,7,5,7,0,2020-05-29 11:07:46,3
34,"41","Vilniaus r.","10","Vilniaus apskr.",NA,252,89,163,76,171,3,2020-05-29 11:07:47,33
35,"86","Švenčionių r.","10","Vilniaus apskr.",NA,10,6,4,3,7,0,2020-05-29 11:07:48,0
36,"43","Zarasų r.","9","Utenos apskr.",NA,1,1,0,0,1,0,2020-05-29 11:07:48,0
37,"53","Kėdainių r.","2","Kauno apskr.",NA,1,0,1,0,1,0,2020-05-29 11:07:49,0
38,"81","Ukmergės r.","10","Vilniaus apskr.",NA,86,27,59,5,73,8,2020-05-29 11:07:50,0
39,"54","Kelmės r.","6","Šiaulių apskr.",NA,2,1,1,0,2,0,2020-05-29 11:07:50,0
40,"89","Širvintų r.","10","Vilniaus apskr.",NA,8,4,4,2,5,0,2020-05-29 11:07:51,0
41,"48","Kalvarijos","4","Marijampolės apskr.",NA,4,2,2,2,2,0,2020-05-29 11:07:52,0
42,"52","Kauno r.","2","Kauno apskr.",NA,21,14,7,1,20,0,2020-05-29 11:07:52,0
44,"88","Šilutės r.","3","Klaipėdos apskr.",NA,7,4,3,0,7,0,2020-05-29 11:07:53,0
45,"77","Tauragės r.","7","Tauragės apskr.",NA,9,5,4,2,7,0,2020-05-29 11:07:54,1
46,"59","Lazdijų r.","1","Alytaus apskr.",NA,5,2,3,3,2,0,2020-05-29 11:07:55,3
47,"94","Jurbarko r.","7","Tauragės apskr.",NA,2,1,1,0,2,0,2020-05-29 11:07:55,0
48,"42","Elektrėnų","10","Vilniaus apskr.",NA,6,2,4,3,3,0,2020-05-29 11:07:56,3
49,"23","Neringos","3","Klaipėdos apskr.",NA,1,1,0,0,1,0,2020-05-29 11:07:57,0
50,"61","Mažeikių r.","8","Telšių apskr.",NA,7,4,3,1,5,1,2020-05-29 11:07:57,0
51,"45","Ignalinos r.","9","Utenos apskr.",NA,3,1,2,1,2,0,2020-05-29 11:07:58,0
52,"78","Telšių r.","8","Telšių apskr.",NA,10,5,5,0,8,2,2020-05-29 11:07:59,0
53,"68","Plungės r.","8","Telšių apskr.",NA,7,4,3,0,7,0,2020-05-29 11:07:59,0
54,"56","Kretingos r.","3","Klaipėdos apskr.",NA,59,22,37,19,38,2,2020-05-29 11:08:00,1
55,"38","Varėnos r.","1","Alytaus apskr.",NA,1,1,0,0,0,1,2020-05-29 11:08:01,0
56,"33","Alytaus r.","1","Alytaus apskr.",NA,7,4,3,0,7,0,2020-05-29 11:08:01,0
57,"72","Raseinių r.","2","Kauno apskr.",NA,6,1,5,0,5,1,2020-05-29 11:08:02,0
59,"13","Vilniaus m.","10","Vilniaus apskr.",NA,430,185,245,157,254,15,2020-05-29 11:08:03,73
60,"87","Šilalės r.","7","Tauragės apskr.",NA,3,2,1,0,3,0,2020-05-29 11:08:04,0
26,"21","Klaipėdos m.","3","Klaipėdos apskr.",NA,273,90,183,55,202,16,2020-05-29 11:08:05,5
20,"30","Visagino","9","Utenos apskr.",NA,3,1,2,0,3,0,2020-05-29 11:08:06,0
58,"67","Pasvalio r.","5","Panevėžio apskr.",NA,4,3,1,1,3,0,2020-05-29 11:08:07,0
21,"27","Panevėžio m.","5","Panevėžio apskr.",NA,21,13,8,1,19,1,2020-05-29 11:08:07,0
29,"29","Šiaulių m.","6","Šiaulių apskr.",NA,14,9,5,1,12,1,2020-05-29 11:08:08,1
30,"12","Birštono","2","Kauno apskr.",NA,0,0,0,0,0,0,2020-05-29 11:08:08,0
43,"65","Pakruojo r.","6","Šiaulių apskr.",NA,0,0,0,0,0,0,2020-05-29 11:08:08,0
