"OBJECTID","SAV_ID","SAV_PAV","APSK_ID","APSKRITIS","TYRIMAI","TEIGIAMI","VYRAI","MOTERYS","GYDOMA","PASVEIKO","MIRE","ATNUJINTA","ATVEJAI_14"
18,"62","Molėtų r.","9","Utenos apskr.",NA,3,1,2,2,1,0,2020-06-08 06:55:20,0
19,"71","Radviliškio r.","6","Šiaulių apskr.",NA,4,3,1,1,3,0,2020-06-08 06:55:21,1
22,"73","Rokiškio r.","5","Panevėžio apskr.",NA,3,0,3,0,3,0,2020-06-08 06:55:22,0
23,"84","Šakių r.","4","Marijampolės apskr.",NA,4,2,2,1,2,1,2020-06-08 06:55:22,1
24,"66","Panevėžio r.","5","Panevėžio apskr.",NA,8,5,3,1,6,1,2020-06-08 06:55:23,0
25,"79","Trakų r.","10","Vilniaus apskr.",NA,5,5,0,0,5,0,2020-06-08 06:55:24,0
27,"57","Kupiškio r.","5","Panevėžio apskr.",NA,1,1,0,0,1,0,2020-06-08 06:55:24,0
28,"75","Skuodo r.","3","Klaipėdos apskr.",NA,3,1,2,1,2,0,2020-06-08 06:55:25,1
31,"25","Palangos m.","3","Klaipėdos apskr.",NA,12,6,6,4,7,1,2020-06-08 06:55:25,0
32,"63","Pagėgių","7","Tauragės apskr.",NA,1,0,1,0,1,0,2020-06-08 06:55:26,0
33,"85","Šalčininkų r.","10","Vilniaus apskr.",NA,12,5,7,5,7,0,2020-06-08 06:55:27,2
34,"41","Vilniaus r.","10","Vilniaus apskr.",NA,269,95,174,66,198,3,2020-06-08 06:55:28,26
35,"86","Švenčionių r.","10","Vilniaus apskr.",NA,11,7,4,2,9,0,2020-06-08 06:55:29,1
36,"43","Zarasų r.","9","Utenos apskr.",NA,1,1,0,0,1,0,2020-06-08 06:55:29,0
37,"53","Kėdainių r.","2","Kauno apskr.",NA,1,0,1,0,1,0,2020-06-08 06:55:30,0
38,"81","Ukmergės r.","10","Vilniaus apskr.",NA,87,27,60,5,73,9,2020-06-08 06:55:31,1
39,"54","Kelmės r.","6","Šiaulių apskr.",NA,2,1,1,0,2,0,2020-06-08 06:55:32,0
40,"89","Širvintų r.","10","Vilniaus apskr.",NA,12,7,5,5,6,0,2020-06-08 06:55:33,4
41,"48","Kalvarijos","4","Marijampolės apskr.",NA,5,2,3,1,3,0,2020-06-08 06:55:34,0
42,"52","Kauno r.","2","Kauno apskr.",NA,21,14,7,0,21,0,2020-06-08 06:55:34,0
44,"88","Šilutės r.","3","Klaipėdos apskr.",NA,7,4,3,0,7,0,2020-06-08 06:55:35,0
45,"77","Tauragės r.","7","Tauragės apskr.",NA,9,5,4,2,7,0,2020-06-08 06:55:36,0
46,"59","Lazdijų r.","1","Alytaus apskr.",NA,5,2,3,3,2,0,2020-06-08 06:55:36,1
47,"94","Jurbarko r.","7","Tauragės apskr.",NA,2,1,1,0,2,0,2020-06-08 06:55:37,0
48,"42","Elektrėnų","10","Vilniaus apskr.",NA,7,2,5,4,3,0,2020-06-08 06:55:38,1
49,"23","Neringos","3","Klaipėdos apskr.",NA,1,1,0,0,1,0,2020-06-08 06:55:39,0
50,"61","Mažeikių r.","8","Telšių apskr.",NA,7,4,3,1,5,1,2020-06-08 06:55:39,0
51,"45","Ignalinos r.","9","Utenos apskr.",NA,5,1,4,2,3,0,2020-06-08 06:55:40,2
52,"78","Telšių r.","8","Telšių apskr.",NA,10,5,5,0,8,2,2020-06-08 06:55:41,0
53,"68","Plungės r.","8","Telšių apskr.",NA,8,5,3,1,7,0,2020-06-08 06:55:42,1
54,"56","Kretingos r.","3","Klaipėdos apskr.",NA,59,22,37,12,45,2,2020-06-08 06:55:42,0
55,"38","Varėnos r.","1","Alytaus apskr.",NA,1,1,0,0,0,1,2020-06-08 06:55:43,0
56,"33","Alytaus r.","1","Alytaus apskr.",NA,7,4,3,0,7,0,2020-06-08 06:55:44,0
57,"72","Raseinių r.","2","Kauno apskr.",NA,6,1,5,0,5,1,2020-06-08 06:55:44,0
59,"13","Vilniaus m.","10","Vilniaus apskr.",NA,448,193,255,123,303,17,2020-06-08 06:55:45,31
60,"87","Šilalės r.","7","Tauragės apskr.",NA,3,2,1,0,3,0,2020-06-08 06:55:46,0
26,"21","Klaipėdos m.","3","Klaipėdos apskr.",NA,276,92,184,42,218,16,2020-06-08 06:55:47,4
20,"30","Visagino","9","Utenos apskr.",NA,3,1,2,0,3,0,2020-06-08 06:55:47,0
58,"67","Pasvalio r.","5","Panevėžio apskr.",NA,4,3,1,1,3,0,2020-06-08 06:55:48,0
21,"27","Panevėžio m.","5","Panevėžio apskr.",NA,21,13,8,0,20,1,2020-06-08 06:55:49,0
29,"29","Šiaulių m.","6","Šiaulių apskr.",NA,14,9,5,1,12,1,2020-06-08 06:55:50,0
30,"12","Birštono","2","Kauno apskr.",NA,0,0,0,0,0,0,2020-06-08 06:55:50,0
43,"65","Pakruojo r.","6","Šiaulių apskr.",NA,0,0,0,0,0,0,2020-06-08 06:55:50,0
