"OBJECTID","SAV_ID","SAV_PAV","APSK_ID","APSKRITIS","PLOTAS","TYRIMAI","TEIGIAMI","VYRAI","MOTERYS","GYDOMA","PASVEIKO","MIRE","ATNUJINTA","SHAPE_AREA","SHAPE_LEN","ATVEJAI","ATVEJAI_10000_GYV","GYV_SK","GYDOMA_10000_GYV","ATVEJAI_14","ATVEJAI_14_100000","ATVEJAI_14_100000LT"
65319,NA,"Raseinių r.",NA,NA,NA,NA,6,1,5,0,5,1,2020-06-15 06:52:46,0,0,6,19.2,31225,0,0,0,3.5
65320,NA,"Vilniaus m.",NA,NA,NA,NA,475,206,269,119,331,20,2020-06-15 06:52:47,0,0,475,84.5,562030,21.2,40,7.1,3.5
65321,NA,"Šilalės r.",NA,NA,NA,NA,3,2,1,0,3,0,2020-06-15 06:52:48,0,0,3,13.7,21887,0,0,0,3.5
65322,NA,"Klaipėdos m.",NA,NA,NA,NA,277,93,184,23,238,16,2020-06-15 06:52:48,0,0,277,185.7,149157,15.4,5,3.4,3.5
65323,NA,"Visagino",NA,NA,NA,NA,3,1,2,0,3,0,2020-06-15 06:52:49,0,0,3,16.4,18250,0,0,0,3.5
65324,NA,"Pasvalio r.",NA,NA,NA,NA,4,3,1,1,3,0,2020-06-15 06:52:50,0,0,4,17.5,22816,4.4,0,0,3.5
65325,NA,"Panevėžio m.",NA,NA,NA,NA,22,13,9,1,20,1,2020-06-15 06:52:50,0,0,22,25.6,85878,1.2,1,1.2,3.5
65326,NA,"Šiaulių m.",NA,NA,NA,NA,14,9,5,1,12,1,2020-06-15 06:52:51,0,0,14,13.8,101514,1,0,0,3.5
65327,NA,"Birštono",NA,NA,NA,NA,0,0,0,0,0,0,2020-06-15 06:52:51,0,0,0,0,4069,0,0,0,3.5
65328,NA,"Pakruojo r.",NA,NA,NA,NA,0,0,0,0,0,0,2020-06-15 06:52:51,0,0,0,0,18606,0,0,0,3.5
