"day","description","tlk","total","intensive","ventilated","oxygen_mask"
2020-10-26,"Užimtų lovų skaičius","Kauno TLK",2662,114,51,495
2020-10-26,"Užimtų lovų skaičius","Klaipėdos TLK",1778,52,22,344
2020-10-26,"Užimtų lovų skaičius","Šiaulių TLK",987,30,12,82
2020-10-26,"Užimtų lovų skaičius","Panevėžio TLK",1614,38,26,218
2020-10-27,"Stacionaro lovų skaičius","Vilniaus TLK",5313,231,219,1843
2020-10-27,"Stacionaro lovų skaičius","Kauno TLK",4242,183,162,1954
2020-10-27,"Stacionaro lovų skaičius","Klaipėdos TLK",3318,92,80,990
2020-10-27,"Stacionaro lovų skaičius","Šiaulių TLK",1877,61,55,925
2020-10-27,"Stacionaro lovų skaičius","Panevėžio TLK",2617,90,78,493
2020-10-27,"Užimtų lovų skaičius","Vilniaus TLK",3545,145,90,850
2020-10-27,"Užimtų lovų skaičius","Kauno TLK",2604,123,59,470
2020-10-27,"Užimtų lovų skaičius","Klaipėdos TLK",1640,49,21,338
2020-10-27,"Užimtų lovų skaičius","Šiaulių TLK",972,32,16,85
2020-10-27,"Užimtų lovų skaičius","Panevėžio TLK",1649,38,23,214
2020-10-28,"Stacionaro lovų skaičius","Vilniaus TLK",5292,231,219,1843
2020-10-28,"Stacionaro lovų skaičius","Kauno TLK",4242,183,162,1954
2020-10-28,"Stacionaro lovų skaičius","Klaipėdos TLK",3432,98,84,1032
2020-10-28,"Stacionaro lovų skaičius","Šiaulių TLK",2005,64,59,963
2020-10-28,"Stacionaro lovų skaičius","Panevėžio TLK",2617,90,80,493
2020-10-28,"Užimtų lovų skaičius","Vilniaus TLK",3478,129,74,826
2020-10-28,"Užimtų lovų skaičius","Kauno TLK",2677,124,58,522
2020-10-28,"Užimtų lovų skaičius","Klaipėdos TLK",1766,50,23,340
2020-10-28,"Užimtų lovų skaičius","Šiaulių TLK",1023,29,15,82
2020-10-28,"Užimtų lovų skaičius","Panevėžio TLK",1610,38,23,227
2020-10-29,"Stacionaro lovų skaičius","Vilniaus TLK",5187,215,203,1843
2020-10-29,"Stacionaro lovų skaičius","Kauno TLK",4242,183,162,1954
2020-10-29,"Stacionaro lovų skaičius","Klaipėdos TLK",3185,92,78,901
2020-10-29,"Stacionaro lovų skaičius","Šiaulių TLK",1743,57,51,910
2020-10-29,"Stacionaro lovų skaičius","Panevėžio TLK",2617,90,78,493
2020-10-29,"Užimtų lovų skaičius","Vilniaus TLK",3348,129,84,798
2020-10-29,"Užimtų lovų skaičius","Kauno TLK",2591,123,53,479
2020-10-29,"Užimtų lovų skaičius","Klaipėdos TLK",1640,43,16,352
2020-10-29,"Užimtų lovų skaičius","Šiaulių TLK",898,29,12,83
2020-10-29,"Užimtų lovų skaičius","Panevėžio TLK",1541,42,26,172
2020-10-30,"Stacionaro lovų skaičius","Vilniaus TLK",4916,212,200,1840
2020-10-30,"Stacionaro lovų skaičius","Kauno TLK",2930,142,122,1574
2020-10-30,"Stacionaro lovų skaičius","Klaipėdos TLK",2407,74,68,918
2020-10-30,"Stacionaro lovų skaičius","Šiaulių TLK",1851,60,57,963
2020-10-30,"Stacionaro lovų skaičius","Panevėžio TLK",2344,80,71,452
2020-10-30,"Užimtų lovų skaičius","Vilniaus TLK",2815,134,87,784
2020-10-30,"Užimtų lovų skaičius","Kauno TLK",1565,100,47,254
2020-10-30,"Užimtų lovų skaičius","Klaipėdos TLK",1060,38,16,287
2020-10-30,"Užimtų lovų skaičius","Šiaulių TLK",851,27,13,89
2020-10-30,"Užimtų lovų skaičius","Panevėžio TLK",1292,37,23,164
2020-10-31,"Stacionaro lovų skaičius","Vilniaus TLK",3510,148,136,1252
2020-10-31,"Stacionaro lovų skaičius","Kauno TLK",4061,179,158,1920
2020-10-31,"Stacionaro lovų skaičius","Klaipėdos TLK",2353,71,64,886
2020-10-31,"Stacionaro lovų skaičius","Šiaulių TLK",1851,60,57,963
2020-10-31,"Stacionaro lovų skaičius","Panevėžio TLK",2444,83,75,462
2020-10-31,"Užimtų lovų skaičius","Vilniaus TLK",2012,75,59,466
2020-10-31,"Užimtų lovų skaičius","Kauno TLK",2116,120,50,397
2020-10-31,"Užimtų lovų skaičius","Klaipėdos TLK",993,33,15,307
2020-10-31,"Užimtų lovų skaičius","Šiaulių TLK",847,32,16,90
2020-10-31,"Užimtų lovų skaičius","Panevėžio TLK",1319,33,16,178
2020-11-01,"Stacionaro lovų skaičius","Vilniaus TLK",4260,192,180,1574
2020-11-01,"Stacionaro lovų skaičius","Kauno TLK",2960,144,123,1628
2020-11-01,"Stacionaro lovų skaičius","Klaipėdos TLK",3337,94,82,995
2020-11-01,"Stacionaro lovų skaičius","Šiaulių TLK",1851,60,57,963
2020-11-01,"Stacionaro lovų skaičius","Panevėžio TLK",2444,83,75,462
2020-11-01,"Užimtų lovų skaičius","Vilniaus TLK",2531,112,78,661
2020-11-01,"Užimtų lovų skaičius","Kauno TLK",1578,85,41,262
2020-11-01,"Užimtų lovų skaičius","Klaipėdos TLK",1408,44,16,314
2020-11-01,"Užimtų lovų skaičius","Šiaulių TLK",874,37,20,108
2020-11-01,"Užimtų lovų skaičius","Panevėžio TLK",1358,33,16,190
2020-11-02,"Stacionaro lovų skaičius","Vilniaus TLK",4773,203,191,1662
2020-11-02,"Stacionaro lovų skaičius","Kauno TLK",4131,181,157,1893
2020-11-02,"Stacionaro lovų skaičius","Klaipėdos TLK",3337,94,82,995
2020-11-02,"Stacionaro lovų skaičius","Šiaulių TLK",2005,64,59,963
2020-11-02,"Stacionaro lovų skaičius","Panevėžio TLK",2617,90,80,493
2020-11-02,"Užimtų lovų skaičius","Vilniaus TLK",2925,126,94,610
2020-11-02,"Užimtų lovų skaičius","Kauno TLK",2192,106,54,401
2020-11-02,"Užimtų lovų skaičius","Klaipėdos TLK",1451,44,14,328
2020-11-02,"Užimtų lovų skaičius","Šiaulių TLK",973,34,21,100
2020-11-02,"Užimtų lovų skaičius","Panevėžio TLK",1512,32,18,190
2020-11-03,"Stacionaro lovų skaičius","Vilniaus TLK",5187,215,203,1843
2020-11-03,"Stacionaro lovų skaičius","Kauno TLK",4242,183,162,1954
2020-11-03,"Stacionaro lovų skaičius","Klaipėdos TLK",3432,103,99,1160
2020-11-03,"Stacionaro lovų skaičius","Šiaulių TLK",2005,64,59,963
2020-11-03,"Stacionaro lovų skaičius","Panevėžio TLK",2617,90,80,493
2020-11-03,"Užimtų lovų skaičius","Vilniaus TLK",3197,133,93,766
2020-11-03,"Užimtų lovų skaičius","Kauno TLK",2310,121,60,414
2020-11-03,"Užimtų lovų skaičius","Klaipėdos TLK",1498,40,13,321
2020-11-03,"Užimtų lovų skaičius","Šiaulių TLK",982,35,18,112
2020-11-03,"Užimtų lovų skaičius","Panevėžio TLK",1501,30,20,193
2020-11-04,"Stacionaro lovų skaičius","Vilniaus TLK",5067,211,199,1839
2020-11-04,"Stacionaro lovų skaičius","Kauno TLK",4242,183,163,1954
2020-11-04,"Stacionaro lovų skaičius","Klaipėdos TLK",3432,103,99,1160
2020-11-04,"Stacionaro lovų skaičius","Šiaulių TLK",2005,64,60,963
2020-11-04,"Stacionaro lovų skaičius","Panevėžio TLK",2617,90,80,493
2020-11-04,"Užimtų lovų skaičius","Vilniaus TLK",3104,135,91,799
2020-11-04,"Užimtų lovų skaičius","Kauno TLK",2391,108,53,409
2020-11-04,"Užimtų lovų skaičius","Klaipėdos TLK",1531,50,13,328
2020-11-04,"Užimtų lovų skaičius","Šiaulių TLK",972,33,21,104
2020-11-04,"Užimtų lovų skaičius","Panevėžio TLK",1518,30,19,219
2020-11-05,"Stacionaro lovų skaičius","Vilniaus TLK",4966,221,209,1843
2020-11-05,"Stacionaro lovų skaičius","Kauno TLK",4242,183,163,1954
2020-11-05,"Stacionaro lovų skaičius","Klaipėdos TLK",3432,103,99,1160
2020-11-05,"Stacionaro lovų skaičius","Šiaulių TLK",2005,64,60,968
2020-11-05,"Stacionaro lovų skaičius","Panevėžio TLK",2617,90,80,493
2020-11-05,"Užimtų lovų skaičius","Vilniaus TLK",3152,130,99,910
2020-11-05,"Užimtų lovų skaičius","Kauno TLK",2459,109,51,437
2020-11-05,"Užimtų lovų skaičius","Klaipėdos TLK",1557,51,21,340
2020-11-05,"Užimtų lovų skaičius","Šiaulių TLK",985,39,21,113
2020-11-05,"Užimtų lovų skaičius","Panevėžio TLK",1492,35,19,199
2020-11-06,"Stacionaro lovų skaičius","Vilniaus TLK",5000,218,202,1840
2020-11-06,"Stacionaro lovų skaičius","Kauno TLK",4061,179,159,1920
2020-11-06,"Stacionaro lovų skaičius","Klaipėdos TLK",3091,90,87,1071
2020-11-06,"Stacionaro lovų skaičius","Šiaulių TLK",1851,60,58,970
2020-11-06,"Stacionaro lovų skaičius","Panevėžio TLK",2617,90,80,493
2020-11-06,"Užimtų lovų skaičius","Vilniaus TLK",2929,112,81,744
2020-11-06,"Užimtų lovų skaičius","Kauno TLK",2173,105,49,392
2020-11-06,"Užimtų lovų skaičius","Klaipėdos TLK",1256,44,18,310
2020-11-06,"Užimtų lovų skaičius","Šiaulių TLK",847,46,24,106
2020-11-06,"Užimtų lovų skaičius","Panevėžio TLK",1448,33,21,171
2020-11-07,"Stacionaro lovų skaičius","Vilniaus TLK",4200,192,176,1627
2020-11-07,"Stacionaro lovų skaičius","Kauno TLK",4061,179,159,1920
2020-11-07,"Stacionaro lovų skaičius","Klaipėdos TLK",3282,97,93,1120
2020-11-07,"Stacionaro lovų skaičius","Šiaulių TLK",1851,60,58,970
2020-11-07,"Stacionaro lovų skaičius","Panevėžio TLK",2444,83,75,462
2020-11-07,"Užimtų lovų skaičius","Vilniaus TLK",2527,102,75,754
2020-11-07,"Užimtų lovų skaičius","Kauno TLK",2074,84,47,385
2020-11-07,"Užimtų lovų skaičius","Klaipėdos TLK",1395,47,17,307
2020-11-07,"Užimtų lovų skaičius","Šiaulių TLK",897,38,23,119
2020-11-07,"Užimtų lovų skaičius","Panevėžio TLK",1351,30,16,191
2020-11-08,"Stacionaro lovų skaičius","Vilniaus TLK",4200,192,176,1627
2020-11-08,"Stacionaro lovų skaičius","Kauno TLK",4061,179,159,1920
2020-11-08,"Stacionaro lovų skaičius","Klaipėdos TLK",3282,97,93,1120
