"day","driving","walking"
2021-02-25,73.99,99.91
2021-02-26,76.7,94.19
2021-02-27,65.6,86.31
2021-02-28,59.13,77.43
2021-03-01,71.31,98.41
2021-03-02,75.5,107.71
2021-03-03,74.92,105.13
2021-03-04,76.6,94.98
2021-03-05,84.69,108.87
2021-03-06,72.03,90.39
2021-03-07,63.59,75.02
2021-03-08,81.5,89.17
2021-03-09,77.89,95.21
2021-03-10,81.93,104.54
2021-03-11,69.13,81.17
2021-03-12,NA,NA
2021-03-13,68.56,83.02
2021-03-14,62.06,71.39
2021-03-15,79,95.35
2021-03-16,83.41,111.34
2021-03-17,83.9,99.32
2021-03-18,82.46,93.56
2021-03-19,93.41,103.69
2021-03-20,81.39,95.09
2021-03-21,66.44,66.88
2021-03-22,81.26,95.66
2021-03-23,82.7,105.84
2021-03-24,85.21,107.77
2021-03-25,85.37,102.69
2021-03-26,102.94,128.18
2021-03-27,78.98,115.74
2021-03-28,66.3,76.04
2021-03-29,78.01,95.35
2021-03-30,81.82,99.26
2021-03-31,82.76,119.85
2021-04-01,84.16,96.34
2021-04-02,85.22,105.19
2021-04-03,53.74,72.33
2021-04-04,44.34,59.17
2021-04-05,60.98,71.34
2021-04-06,86.3,105.22
2021-04-07,97.33,118.43
2021-04-08,98.93,118.97
2021-04-09,109.79,129.54
2021-04-10,101.84,120.84
2021-04-11,103.64,123.42
2021-04-12,93.05,114.4
2021-04-13,91.84,112.93
2021-04-14,91.61,101.76
2021-04-15,94.9,104.48
2021-04-16,117.39,127.02
2021-04-17,109.73,136.15
2021-04-18,113.5,134.85
2021-04-19,97.06,125.29
2021-04-20,97.2,126.65
2021-04-21,100.09,128.15
2021-04-22,99.52,116.02
2021-04-23,110.87,109.13
2021-04-24,96.39,110.86
2021-04-25,84.86,89.76
2021-04-26,89.22,103.91
2021-04-27,94.51,105.78
2021-04-28,97.75,119.85
2021-04-29,102.99,129.94
2021-04-30,125.53,137.74
2021-05-01,111.76,140.23
2021-05-02,92.85,85.97
2021-05-03,89.72,82.65
2021-05-04,95.45,117.81
2021-05-05,98.31,115.93
2021-05-06,96.85,114.43
2021-05-07,117.54,126.42
2021-05-08,109.23,128.86
2021-05-09,104.89,136.15
2021-05-10,111.6,153.5
2021-05-11,115.65,157.19
2021-05-12,114.12,149.96
2021-05-13,106.68,118.97
2021-05-14,134.93,146.78
2021-05-15,126.47,173.86
2021-05-16,113.97,124.18
2021-05-17,102.09,121.97
2021-05-18,107.02,124.89
2021-05-19,107.99,132.44
2021-05-20,113.78,140.91
2021-05-21,134.7,166.66
2021-05-22,107.57,130.2
2021-05-23,101.72,112.05
2021-05-24,111.29,144.51
2021-05-25,107.65,122.54
2021-05-26,110.66,145.25
2021-05-27,116.56,148.94
2021-05-28,146.37,177.66
2021-05-29,119.48,157.44
2021-05-30,117.09,134.36
2021-05-31,113.41,155.88
2021-06-01,120.84,165.01
2021-06-02,122.11,171.87
2021-06-03,126.89,176.75
2021-06-04,162.66,203.88
2021-06-05,140.97,184.09
2021-06-06,127.23,142.93
2021-06-07,124.1,177.03
2021-06-08,127.71,170.77
2021-06-09,129.06,168.67
2021-06-10,138.06,181.85
2021-06-11,163.73,206.8
2021-06-12,140.42,174.88
2021-06-13,127.63,141.51
2021-06-14,131.34,196.17
2021-06-15,137.05,190.19
2021-06-16,145.72,207
2021-06-17,152.41,224.47
2021-06-18,186.93,239.75
2021-06-19,154.33,205.84
2021-06-20,151.05,167.08
