"day","administrative_level_3","0-9","10-19","20-29","30-39","40-49","50-59","60-69","70-79","80+","Nenustatyta","Total"
2020-02-04,"Visagino m.",0,0,0,0,0,0,0,0,0,0,0
2020-02-04,"Total",0,0,0,0,0,0,0,0,0,0,0
2020-02-04,"Šiaulių m.",0,0,0,0,0,0,0,0,0,0,0
2020-02-04,"Šilutės r.",0,0,0,0,0,0,0,0,0,0,0
2020-02-04,"Širvintų r.",0,0,0,0,0,0,0,0,0,0,0
2020-02-04,"Švenčionių r.",0,0,0,0,0,0,0,0,0,0,0
2020-02-05,"",0,0,0,0,0,0,0,0,0,0,0
2020-02-05,"Alytaus m.",0,0,0,0,0,0,0,0,0,0,0
2020-02-05,"Anykščių r.",0,0,0,0,0,0,0,0,0,0,0
2020-02-05,"Biržų r.",0,0,0,0,0,0,0,0,0,0,0
2020-02-05,"Elektrėnų",0,0,0,0,0,0,0,0,0,0,0
2020-02-05,"Ignalinos r.",0,0,0,0,0,0,0,0,0,0,0
2020-02-05,"Jonavos r.",0,0,0,0,0,0,0,0,0,0,0
2020-02-05,"Joniškio r.",0,0,0,0,0,0,0,0,0,0,0
2020-02-05,"Jurbarko r.",0,0,0,0,0,0,0,0,0,0,0
2020-02-05,"Kaišiadorių r.",0,0,0,0,0,0,0,0,0,0,0
2020-02-05,"Kauno m.",0,0,0,0,0,0,0,0,0,0,0
2020-02-05,"Kauno r.",0,0,0,0,0,0,0,0,0,0,0
2020-02-05,"Kelmės r.",0,0,0,0,0,0,0,0,0,0,0
2020-02-05,"Klaipėdos m.",0,0,0,0,0,0,0,0,0,0,0
2020-02-05,"Klaipėdos r.",0,0,0,0,0,0,0,0,0,0,0
2020-02-05,"Kupiškio r.",0,0,0,0,0,0,0,0,0,0,0
2020-02-05,"Kėdainių r.",0,0,0,0,0,0,0,0,0,0,0
2020-02-05,"Lazdijų r.",0,0,0,0,0,0,0,0,0,0,0
2020-02-05,"Marijampolės",0,0,0,0,0,0,0,0,0,0,0
2020-02-05,"Palangos m.",0,0,0,0,0,0,0,0,0,0,0
2020-02-05,"Panevėžio m.",0,0,0,0,0,0,0,0,0,0,0
2020-02-05,"Panevėžio r.",0,0,0,0,0,0,0,0,0,0,0
2020-02-05,"Plungės r.",0,0,0,0,0,0,0,0,0,0,0
2020-02-05,"Radviliškio r.",0,0,0,0,0,0,0,0,0,0,0
2020-02-05,"Rokiškio r.",0,0,0,0,0,0,0,0,0,0,0
2020-02-05,"Skuodo r.",0,0,0,0,0,0,0,0,0,0,0
2020-02-05,"Tauragės r.",0,0,0,0,0,0,0,0,0,0,0
2020-02-05,"Telšių r.",0,0,0,0,0,0,0,0,0,0,0
2020-02-05,"Trakų r.",0,0,0,0,0,0,0,0,0,0,0
2020-02-05,"Ukmergės r.",0,0,0,0,0,0,0,0,0,0,0
2020-02-05,"Utenos r.",0,0,0,0,0,0,0,0,0,0,0
2020-02-05,"Varėnos r.",0,0,0,0,0,0,0,0,0,0,0
2020-02-05,"Vilniaus m.",0,0,0,0,0,0,0,0,0,0,0
2020-02-05,"Vilniaus r.",0,0,0,0,0,0,0,0,0,0,0
2020-02-05,"Visagino m.",0,0,0,0,0,0,0,0,0,0,0
2020-02-05,"Total",0,0,0,0,0,0,0,0,0,0,0
2020-02-05,"Zarasų r.",0,0,0,0,0,0,0,0,0,0,0
2020-02-05,"Šakių r.",0,0,0,0,0,0,0,0,0,0,0
2020-02-05,"Šalčininkų r.",0,0,0,0,0,0,0,0,0,0,0
2020-02-05,"Šiaulių r.",0,0,0,0,0,0,0,0,0,0,0
2020-02-06,"",0,0,0,0,0,0,0,0,0,0,0
2020-02-06,"Anykščių r.",0,0,0,0,0,0,0,0,0,0,0
2020-02-06,"Elektrėnų",0,0,0,0,0,0,0,0,0,0,0
2020-02-06,"Ignalinos r.",0,0,0,0,0,0,0,0,0,0,0
2020-02-06,"Jurbarko r.",0,0,0,0,0,0,0,0,0,0,0
2020-02-06,"Kaišiadorių r.",0,0,0,0,0,0,0,0,0,0,0
2020-02-06,"Kalvarijos",0,0,0,0,0,0,0,0,0,0,0
2020-02-06,"Kauno m.",0,0,0,0,0,0,0,0,0,0,0
2020-02-06,"Kauno r.",0,0,0,0,0,0,0,0,0,0,0
2020-02-06,"Klaipėdos m.",0,0,0,0,0,0,0,0,0,0,0
2020-02-06,"Klaipėdos r.",0,0,0,0,0,0,0,0,0,0,0
2020-02-06,"Kretingos r.",0,0,0,0,0,0,0,0,0,0,0
2020-02-06,"Kupiškio r.",0,0,0,0,0,0,0,0,0,0,0
2020-02-06,"Kėdainių r.",0,0,0,0,0,0,0,0,0,0,0
2020-02-06,"Lazdijų r.",0,0,0,0,0,0,0,0,0,0,0
2020-02-06,"Marijampolės",0,0,0,0,0,0,0,0,0,0,0
2020-02-06,"Mažeikių r.",0,0,0,0,0,0,0,0,0,0,0
2020-02-06,"Molėtų r.",0,0,0,0,0,0,0,0,0,0,0
2020-02-06,"Pagėgių",0,0,0,0,0,0,0,0,0,0,0
2020-02-06,"Pakruojo r.",0,0,0,0,0,0,0,0,0,0,0
2020-02-06,"Palangos m.",0,0,0,0,0,0,0,0,0,0,0
2020-02-06,"Panevėžio m.",0,0,0,0,0,0,0,0,0,0,0
2020-02-06,"Panevėžio r.",0,0,0,0,0,0,0,0,0,0,0
2020-02-06,"Pasvalio r.",0,0,0,0,0,0,0,0,0,0,0
2020-02-06,"Plungės r.",0,0,0,0,0,0,0,0,0,0,0
2020-02-06,"Prienų r.",0,0,0,0,0,0,0,0,0,0,0
2020-02-06,"Radviliškio r.",0,0,0,0,0,0,0,0,0,0,0
2020-02-06,"Raseinių r.",0,0,0,0,0,0,0,0,0,0,0
2020-02-06,"Rokiškio r.",0,0,0,0,0,0,0,0,0,0,0
2020-02-06,"Skuodo r.",0,0,0,0,0,0,0,0,0,0,0
2020-02-06,"Tauragės r.",0,0,0,0,0,0,0,0,0,0,0
2020-02-06,"Ukmergės r.",0,0,0,0,0,0,0,0,0,0,0
2020-02-06,"Utenos r.",0,0,0,0,0,0,0,0,0,0,0
2020-02-06,"Vilkaviškio r.",0,0,0,0,0,0,0,0,0,0,0
2020-02-06,"Vilniaus m.",0,0,0,0,0,0,0,0,0,0,0
2020-02-06,"Vilniaus r.",0,0,0,0,0,0,0,0,0,0,0
2020-02-06,"Total",0,0,0,0,0,0,0,0,0,0,0
2020-02-06,"Zarasų r.",0,0,0,0,0,0,0,0,0,0,0
2020-02-06,"Šalčininkų r.",0,0,0,0,0,0,0,0,0,0,0
2020-02-06,"Šiaulių m.",0,0,0,0,0,0,0,0,0,0,0
2020-02-06,"Šilalės r.",0,0,0,0,0,0,0,0,0,0,0
2020-02-06,"Šilutės r.",0,0,0,0,0,0,0,0,0,0,0
2020-02-06,"Širvintų r.",0,0,0,0,0,0,0,0,0,0,0
2020-02-06,"Švenčionių r.",0,0,0,0,0,0,0,0,0,0,0
2020-02-07,"",0,0,0,0,0,0,0,0,0,0,0
2020-02-07,"Akmenės r.",0,0,0,0,0,0,0,0,0,0,0
2020-02-07,"Alytaus m.",0,0,0,0,0,0,0,0,0,0,0
2020-02-07,"Druskininkų",0,0,0,0,0,0,0,0,0,0,0
2020-02-07,"Elektrėnų",0,0,0,0,0,0,0,0,0,0,0
2020-02-07,"Ignalinos r.",0,0,0,0,0,0,0,0,0,0,0
2020-02-07,"Jonavos r.",0,0,0,0,0,0,0,0,0,0,0
2020-02-07,"Kaišiadorių r.",0,0,0,0,0,0,0,0,0,0,0
2020-02-07,"Kauno m.",0,0,0,0,0,0,0,0,0,0,0
2020-02-07,"Kauno r.",0,0,0,0,0,0,0,0,0,0,0
2020-02-07,"Kelmės r.",0,0,0,0,0,0,0,0,0,0,0
2020-02-07,"Klaipėdos m.",0,0,0,0,0,0,0,0,0,0,0
2020-02-07,"Klaipėdos r.",0,0,0,0,0,0,0,0,0,0,0
2020-02-07,"Kretingos r.",0,0,0,0,0,0,0,0,0,0,0
2020-02-07,"Kupiškio r.",0,0,0,0,0,0,0,0,0,0,0
2020-02-07,"Kėdainių r.",0,0,0,0,0,0,0,0,0,0,0
2020-02-07,"Marijampolės",0,0,0,0,0,0,0,0,0,0,0
2020-02-07,"Mažeikių r.",0,0,0,0,0,0,0,0,0,0,0
2020-02-07,"Pagėgių",0,0,0,0,0,0,0,0,0,0,0
2020-02-07,"Palangos m.",0,0,0,0,0,0,0,0,0,0,0
2020-02-07,"Panevėžio m.",0,0,0,0,0,0,0,0,0,0,0
2020-02-07,"Panevėžio r.",0,0,0,0,0,0,0,0,0,0,0
