"lab_name","day","test_type","tests_positive","gmp_indication","tests"
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-06-10,"1477",1,"profilaktika",569
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-06-10,"1477",2,"kontaktai",4
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-06-10,"1477",0,"kiti",245
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-06-11,"1477",0,"kontaktai",3
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-06-11,"1477",3,"profilaktika",768
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-06-11,"1477",0,"kiti",252
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-06-11,"1477",0,"simptomai",20
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-06-12,"1477",0,"simptomai",15
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-06-12,"1477",0,"profilaktika",635
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-06-12,"1477",0,"kiti",129
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-06-12,"1477",0,"kontaktai",12
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-06-13,"1477",0,"kiti",145
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-06-13,"1477",0,"simptomai",18
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-06-13,"1477",3,"profilaktika",825
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-06-13,"1477",0,"kontaktai",5
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-06-14,"1477",0,"profilaktika",163
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-06-14,"1477",0,"kontaktai",7
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-06-14,"1477",0,"simptomai",12
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-06-14,"1477",0,"kiti",198
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-06-15,"1477",1,"profilaktika",396
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-06-15,"1477",0,"simptomai",4
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-06-15,"1477",0,"kiti",195
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-06-16,"1477",0,"simptomai",19
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-06-16,"1477",0,"kontaktai",4
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-06-16,"1477",2,"kiti",304
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-06-16,"1477",0,"profilaktika",828
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-06-17,"1477",0,"simptomai",19
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-06-17,"1477",0,"profilaktika",507
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-06-17,"1477",0,"kiti",326
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-06-17,"1477",1,"kontaktai",3
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-06-18,"1477",0,"simptomai",21
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-06-18,"1477",1,"profilaktika",630
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-06-18,"1477",0,"kiti",250
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-06-18,"1477",0,"kontaktai",1
