"day","Mean(R)","Std(R)","Quantile.0.025(R)","Quantile.0.05(R)","Quantile.0.25(R)","Median(R)","Quantile.0.75(R)","Quantile.0.95(R)","Quantile.0.975(R)"
2020-04-21,1.30137586708714,0.130795155455125,1.05174706270238,1.08585429342141,1.21152295481401,1.30156706214385,1.38863831631886,1.51782645638203,1.56282411357021
2020-04-22,1.23084817492773,0.14353063547038,0.978864919119657,1.00835791473536,1.12323743315414,1.22639768352133,1.32943273910372,1.47417150011847,1.52310323568279
2020-04-23,1.13902029962276,0.131501274753237,0.923932210067967,0.949037536725878,1.04062652454348,1.12511707007172,1.2243896702847,1.37529680657661,1.42621439726456
2020-04-24,0.958994853006726,0.0987786834519009,0.796467554150571,0.817350432951082,0.888443539251423,0.947228097950819,1.01836663962597,1.13995451472735,1.18209287303802
2020-04-25,0.738236974108046,0.0663192411298801,0.618405262243588,0.635570232996777,0.692433382301784,0.73464084210814,0.780081432402011,0.853100438058323,0.879113625368833
2020-04-26,0.724946675611235,0.0768562526838141,0.593453322153974,0.611671605728152,0.671500373514641,0.717604782520449,0.770559262375879,0.864638046506608,0.898606499743951
2020-04-27,0.545749730358234,0.0749180581961866,0.421562449557733,0.43746346020345,0.491752040144872,0.536905875495424,0.592133118740758,0.683239102184457,0.712233906421465
2020-04-28,0.614970518251159,0.116789743019946,0.444526548573247,0.462881102465401,0.528863905384527,0.591082112250004,0.683053646208588,0.842726308770469,0.888975333173266
2020-04-29,0.601027879035274,0.119949797396737,0.413957951814043,0.433715579895628,0.508427764712578,0.583093013560622,0.682993131150705,0.819605461000527,0.858419660899152
2020-04-30,0.62993034848507,0.129507726996511,0.422257054763591,0.444080950513742,0.529540444167971,0.614635953377222,0.719748023103478,0.861401065133268,0.902822463295542
2020-05-01,0.657919359537187,0.131247569122467,0.439797827424517,0.46301945282698,0.556544530430503,0.647276561022375,0.750054365169617,0.887289887820982,0.9278942480674
2020-05-02,0.643709099904523,0.122668055715683,0.434610766807145,0.457919799600739,0.550530058538964,0.636069666188974,0.728799790791484,0.85595010748631,0.895586533368997
2020-05-03,0.673371222523479,0.125403966230198,0.459493864040244,0.484071369770216,0.579261053457296,0.664726445954606,0.75840146232484,0.89248889338417,0.934599509491665
2020-05-04,0.679010948170357,0.122124520877911,0.46841326082552,0.493800090716025,0.588542846761039,0.670778156287282,0.760748596465855,0.892175566583002,0.934362324363997
2020-05-05,0.528265205490101,0.0999027889192552,0.356502771050901,0.378155305525004,0.455560461586895,0.520517842655329,0.593226871376533,0.704422605626431,0.741666455825295
2020-05-06,0.525784311447831,0.115891893404006,0.341274525881204,0.362857344433501,0.441141337656891,0.510603224540158,0.595574465442949,0.740398503170281,0.788608757799644
2020-05-07,0.528178349245807,0.128172461228657,0.329719566400178,0.351851499559812,0.433615817405945,0.50891008279608,0.605666987418717,0.767815240837841,0.821480024206636
2020-05-08,0.934000757987368,0.217740289664389,0.601263299485184,0.63560516296998,0.767457538867881,0.899624398526051,1.07535465032998,1.33803756220735,1.41676070025666
2020-05-09,1.07047532556571,0.186868127705607,0.742780758382145,0.78358161925398,0.935547269502466,1.0612376470726,1.19130808435897,1.39292172803592,1.46421817977321
2020-05-10,1.09110388379989,0.16526827495796,0.806797034347248,0.845714997568897,0.975438699035668,1.07728294717049,1.19119410221442,1.38409441148776,1.45527621762485
2020-05-11,1.19599789970734,0.168666596892782,0.910601988803328,0.949032006058635,1.07892995354128,1.1802523987638,1.29499341001364,1.49620488835995,1.57514647946575
