"day","age_group","confirmed","confirmed_100k","confirmed_male","confirmed_male_100k","confirmed_female","confirmed_female_100k","other","total","population","population_male","population_female"
2020-09-20,"50-59",732,174.7,299,152.2,433,194.5,0,732,419039,196469,222570
2020-09-20,"60-69",453,129,190,128.6,263,129.3,0,453,351248,147788,203460
2020-09-20,"70-79",187,78.9,78,95.5,109,70.2,0,187,236890,81674,155216
2020-09-20,"Virš 80",221,134.3,69,155.9,152,126.4,0,221,164546,44257,120289
2020-09-21,"0-9",92,31.7,48,32.2,44,31.2,0,92,290102,148908,141194
2020-09-21,"10-19",219,83.1,123,91.1,96,74.6,0,219,263568,134947,128621
2020-09-21,"20-29",621,182.8,318,179.2,303,186.7,0,621,339736,177466,162270
2020-09-21,"30-39",618,172,333,176.2,285,167.4,0,618,359239,188972,170267
2020-09-21,"40-49",699,189.1,306,166.4,393,211.5,0,699,369722,183873,185849
2020-09-21,"50-59",739,176.4,303,154.2,436,195.9,0,739,419039,196469,222570
2020-09-21,"60-69",456,129.8,191,129.2,265,130.2,0,456,351248,147788,203460
2020-09-21,"70-79",189,79.8,79,96.7,110,70.9,0,189,236890,81674,155216
2020-09-21,"Virš 80",226,137.3,71,160.4,155,128.9,0,226,164546,44257,120289
2020-09-22,"0-9",92,31.7,48,32.2,44,31.2,0,92,290102,148908,141194
2020-09-22,"10-19",224,85,125,92.6,99,77,0,224,263568,134947,128621
2020-09-22,"20-29",632,186,324,182.6,308,189.8,0,632,339736,177466,162270
2020-09-22,"30-39",639,177.9,344,182,295,173.3,0,639,359239,188972,170267
2020-09-22,"40-49",709,191.8,309,168.1,400,215.2,0,709,369722,183873,185849
2020-09-22,"50-59",748,178.5,309,157.3,439,197.2,0,748,419039,196469,222570
2020-09-22,"60-69",466,132.7,198,134,268,131.7,0,466,351248,147788,203460
2020-09-22,"70-79",192,81.1,81,99.2,111,71.5,0,192,236890,81674,155216
2020-09-22,"Virš 80",230,139.8,72,162.7,158,131.4,0,230,164546,44257,120289
2020-09-23,"0-9",94,32.4,49,32.9,45,31.9,0,94,290102,148908,141194
2020-09-23,"10-19",233,88.4,131,97.1,102,79.3,0,233,263568,134947,128621
2020-09-23,"20-29",644,189.6,328,184.8,316,194.7,0,644,339736,177466,162270
2020-09-23,"30-39",663,184.6,352,186.3,311,182.7,0,663,359239,188972,170267
2020-09-23,"40-49",724,195.8,317,172.4,407,219,0,724,369722,183873,185849
2020-09-23,"50-59",783,186.9,323,164.4,460,206.7,0,783,419039,196469,222570
2020-09-23,"60-69",482,137.2,205,138.7,277,136.1,0,482,351248,147788,203460
2020-09-23,"70-79",201,84.8,86,105.3,115,74.1,0,201,236890,81674,155216
2020-09-23,"Virš 80",246,149.5,76,171.7,170,141.3,0,246,164546,44257,120289
2020-09-24,"0-9",95,32.7,49,32.9,46,32.6,0,95,290102,148908,141194
2020-09-24,"10-19",240,91.1,135,100,105,81.6,0,240,263568,134947,128621
2020-09-24,"20-29",659,194,336,189.3,323,199.1,0,659,339736,177466,162270
2020-09-24,"30-39",687,191.2,362,191.6,325,190.9,0,687,359239,188972,170267
2020-09-24,"40-49",748,202.3,327,177.8,421,226.5,0,748,369722,183873,185849
2020-09-24,"50-59",803,191.6,330,168,473,212.5,0,803,419039,196469,222570
2020-09-24,"60-69",493,140.4,209,141.4,284,139.6,0,493,351248,147788,203460
2020-09-24,"70-79",206,87,88,107.7,118,76,0,206,236890,81674,155216
2020-09-24,"Virš 80",253,153.8,77,174,176,146.3,0,253,164546,44257,120289
2020-09-25,"0-9",101,34.8,51,34.2,50,35.4,0,101,290102,148908,141194
2020-09-25,"10-19",249,94.5,139,103,110,85.5,0,249,263568,134947,128621
2020-09-25,"20-29",667,196.3,339,191,328,202.1,0,667,339736,177466,162270
2020-09-25,"30-39",709,197.4,374,197.9,335,196.7,0,709,359239,188972,170267
2020-09-25,"40-49",770,208.3,334,181.6,436,234.6,0,770,369722,183873,185849
2020-09-25,"50-59",825,196.9,337,171.5,488,219.3,0,825,419039,196469,222570
2020-09-25,"60-69",506,144.1,215,145.5,291,143,0,506,351248,147788,203460
2020-09-25,"70-79",212,89.5,91,111.4,121,78,0,212,236890,81674,155216
2020-09-25,"Virš 80",256,155.6,79,178.5,177,147.1,0,256,164546,44257,120289
2020-09-26,"0-9",104,35.8,52,34.9,52,36.8,0,104,290102,148908,141194
2020-09-26,"10-19",257,97.5,142,105.2,115,89.4,0,257,263568,134947,128621
2020-09-26,"20-29",682,200.7,345,194.4,337,207.7,0,682,339736,177466,162270
2020-09-26,"30-39",730,203.2,387,204.8,343,201.4,0,730,359239,188972,170267
2020-09-26,"40-49",787,212.9,340,184.9,447,240.5,0,787,369722,183873,185849
2020-09-26,"50-59",839,200.2,345,175.6,494,222,0,839,419039,196469,222570
2020-09-26,"60-69",512,145.8,219,148.2,293,144,0,512,351248,147788,203460
2020-09-26,"70-79",215,90.8,94,115.1,121,78,0,215,236890,81674,155216
2020-09-26,"Virš 80",259,157.4,80,180.8,179,148.8,0,259,164546,44257,120289
2020-09-27,"0-9",110,37.9,54,36.3,56,39.7,0,110,290102,148908,141194
2020-09-27,"10-19",261,99,145,107.4,116,90.2,0,261,263568,134947,128621
2020-09-27,"20-29",696,204.9,350,197.2,346,213.2,0,696,339736,177466,162270
2020-09-27,"30-39",749,208.5,394,208.5,355,208.5,0,749,359239,188972,170267
2020-09-27,"40-49",809,218.8,347,188.7,462,248.6,0,809,369722,183873,185849
2020-09-27,"50-59",867,206.9,356,181.2,511,229.6,0,867,419039,196469,222570
2020-09-27,"60-69",520,148,223,150.9,297,146,0,520,351248,147788,203460
2020-09-27,"70-79",219,92.4,96,117.5,123,79.2,0,219,236890,81674,155216
2020-09-27,"Virš 80",259,157.4,80,180.8,179,148.8,0,259,164546,44257,120289
2020-09-28,"0-9",112,38.6,55,36.9,57,40.4,0,112,290102,148908,141194
2020-09-28,"10-19",266,100.9,148,109.7,118,91.7,0,266,263568,134947,128621
2020-09-28,"20-29",706,207.8,353,198.9,353,217.5,0,706,339736,177466,162270
2020-09-28,"30-39",765,213,400,211.7,365,214.4,0,765,359239,188972,170267
2020-09-28,"40-49",826,223.4,351,190.9,475,255.6,0,826,369722,183873,185849
2020-09-28,"50-59",883,210.7,362,184.3,521,234.1,0,883,419039,196469,222570
2020-09-28,"60-69",533,151.7,228,154.3,305,149.9,0,533,351248,147788,203460
2020-09-28,"70-79",224,94.6,97,118.8,127,81.8,0,224,236890,81674,155216
2020-09-28,"Virš 80",263,159.8,80,180.8,182,151.3,1,262,164546,44257,120289
2020-09-29,"0-9",116,40,57,38.3,59,41.8,0,116,290102,148908,141194
2020-09-29,"10-19",272,103.2,149,110.4,123,95.6,0,272,263568,134947,128621
2020-09-29,"20-29",728,214.3,365,205.7,363,223.7,0,728,339736,177466,162270
2020-09-29,"30-39",786,218.8,413,218.6,373,219.1,0,786,359239,188972,170267
2020-09-29,"40-49",846,228.8,358,194.7,488,262.6,0,846,369722,183873,185849
2020-09-29,"50-59",899,214.5,368,187.3,531,238.6,0,899,419039,196469,222570
2020-09-29,"60-69",547,155.7,234,158.3,313,153.8,0,547,351248,147788,203460
2020-09-29,"70-79",232,97.9,102,124.9,130,83.8,0,232,236890,81674,155216
2020-09-29,"Virš 80",267,162.3,83,187.5,184,153,0,267,164546,44257,120289
2020-09-30,"0-9",119,41,58,39,61,43.2,0,119,290102,148908,141194
2020-09-30,"10-19",286,108.5,155,114.9,131,101.8,0,286,263568,134947,128621
2020-09-30,"20-29",742,218.4,374,210.7,368,226.8,0,742,339736,177466,162270
2020-09-30,"30-39",799,222.4,418,221.2,381,223.8,0,799,359239,188972,170267
2020-09-30,"40-49",858,232.1,367,199.6,491,264.2,0,858,369722,183873,185849
2020-09-30,"50-59",918,219.1,378,192.4,540,242.6,0,918,419039,196469,222570
2020-09-30,"60-69",559,159.1,237,160.4,322,158.3,0,559,351248,147788,203460
2020-09-30,"70-79",235,99.2,102,124.9,133,85.7,0,235,236890,81674,155216
2020-09-30,"Virš 80",268,162.9,83,187.5,185,153.8,0,268,164546,44257,120289
2020-10-01,"0-9",126,43.4,62,41.6,64,45.3,0,126,290102,148908,141194
2020-10-01,"10-19",289,109.6,157,116.3,132,102.6,0,289,263568,134947,128621
2020-10-01,"20-29",765,225.2,387,218.1,378,232.9,0,765,339736,177466,162270
2020-10-01,"30-39",822,228.8,428,226.5,394,231.4,0,822,359239,188972,170267
2020-10-01,"40-49",882,238.6,378,205.6,504,271.2,0,882,369722,183873,185849
2020-10-01,"50-59",956,228.1,392,199.5,564,253.4,0,956,419039,196469,222570
2020-10-01,"60-69",580,165.1,244,165.1,336,165.1,0,580,351248,147788,203460
2020-10-01,"70-79",256,108.1,111,135.9,145,93.4,0,256,236890,81674,155216
2020-10-01,"Virš 80",280,170.2,85,192.1,195,162.1,0,280,164546,44257,120289
2020-10-02,"0-9",130,44.8,63,42.3,67,47.5,0,130,290102,148908,141194
2020-10-02,"10-19",299,113.4,162,120,137,106.5,0,299,263568,134947,128621
2020-10-02,"20-29",779,229.3,392,220.9,387,238.5,0,779,339736,177466,162270
2020-10-02,"30-39",842,234.4,433,229.1,409,240.2,0,842,359239,188972,170267
2020-10-02,"40-49",909,245.9,391,212.6,518,278.7,0,909,369722,183873,185849
2020-10-02,"50-59",986,235.3,403,205.1,583,261.9,0,986,419039,196469,222570
2020-10-02,"60-69",593,168.8,249,168.5,344,169.1,0,593,351248,147788,203460
2020-10-02,"70-79",259,109.3,112,137.1,147,94.7,0,259,236890,81674,155216
2020-10-02,"Virš 80",285,173.2,86,194.3,198,164.6,1,284,164546,44257,120289
2020-10-03,"0-9",134,46.2,64,43,70,49.6,0,134,290102,148908,141194
2020-10-03,"10-19",307,116.5,166,123,141,109.6,0,307,263568,134947,128621
2020-10-03,"20-29",792,233.1,396,223.1,396,244,0,792,339736,177466,162270
2020-10-03,"30-39",860,239.4,438,231.8,422,247.8,0,860,359239,188972,170267
2020-10-03,"40-49",929,251.3,400,217.5,529,284.6,0,929,369722,183873,185849
2020-10-03,"50-59",1011,241.3,410,208.7,601,270,0,1011,419039,196469,222570
2020-10-03,"60-69",603,171.7,252,170.5,351,172.5,0,603,351248,147788,203460
2020-10-03,"70-79",262,110.6,113,138.4,149,96,0,262,236890,81674,155216
2020-10-03,"Virš 80",287,174.4,87,196.6,200,166.3,0,287,164546,44257,120289
2020-10-04,"0-9",137,47.2,65,43.7,72,51,0,137,290102,148908,141194
2020-10-04,"10-19",313,118.8,169,125.2,144,112,0,313,263568,134947,128621
2020-10-04,"20-29",804,236.7,400,225.4,404,249,0,804,339736,177466,162270
2020-10-04,"30-39",882,245.5,450,238.1,432,253.7,0,882,359239,188972,170267
2020-10-04,"40-49",949,256.7,406,220.8,543,292.2,0,949,369722,183873,185849
2020-10-04,"50-59",1030,245.8,415,211.2,615,276.3,0,1030,419039,196469,222570
2020-10-04,"60-69",617,175.7,259,175.3,358,176,0,617,351248,147788,203460
2020-10-04,"70-79",264,111.4,115,140.8,149,96,0,264,236890,81674,155216
2020-10-04,"Virš 80",289,175.6,87,196.6,201,167.1,1,288,164546,44257,120289
2020-10-05,"0-9",142,48.9,68,45.7,74,52.4,0,142,290102,148908,141194
2020-10-05,"10-19",319,121,172,127.5,147,114.3,0,319,263568,134947,128621
2020-10-05,"20-29",820,241.4,409,230.5,411,253.3,0,820,339736,177466,162270
2020-10-05,"30-39",899,250.3,458,242.4,441,259,0,899,359239,188972,170267
2020-10-05,"40-49",958,259.1,410,223,548,294.9,0,958,369722,183873,185849
2020-10-05,"50-59",1046,249.6,421,214.3,625,280.8,0,1046,419039,196469,222570
2020-10-05,"60-69",628,178.8,264,178.6,364,178.9,0,628,351248,147788,203460
2020-10-05,"70-79",266,112.3,117,143.3,149,96,0,266,236890,81674,155216
2020-10-05,"Virš 80",288,175,87,196.6,201,167.1,0,288,164546,44257,120289
2020-10-06,"0-9",143,49.3,69,46.3,74,52.4,0,143,290102,148908,141194
2020-10-06,"10-19",325,123.3,176,130.4,149,115.8,0,325,263568,134947,128621
2020-10-06,"20-29",838,246.7,418,235.5,420,258.8,0,838,339736,177466,162270
2020-10-06,"30-39",919,255.8,465,246.1,454,266.6,0,919,359239,188972,170267
2020-10-06,"40-49",975,263.7,416,226.2,559,300.8,0,975,369722,183873,185849
2020-10-06,"50-59",1071,255.6,429,218.4,642,288.4,0,1071,419039,196469,222570
2020-10-06,"60-69",648,184.5,272,184,376,184.8,0,648,351248,147788,203460
2020-10-06,"70-79",271,114.4,118,144.5,153,98.6,0,271,236890,81674,155216
2020-10-06,"Virš 80",294,178.7,88,198.8,206,171.3,0,294,164546,44257,120289
2020-10-07,"0-9",149,51.4,72,48.4,77,54.5,0,149,290102,148908,141194
2020-10-07,"10-19",335,127.1,178,131.9,157,122.1,0,335,263568,134947,128621
2020-10-07,"20-29",856,252,426,240,430,265,0,856,339736,177466,162270
2020-10-07,"30-39",939,261.4,481,254.5,458,269,0,939,359239,188972,170267
2020-10-07,"40-49",1001,270.7,427,232.2,574,308.9,0,1001,369722,183873,185849
2020-10-07,"50-59",1097,261.8,437,222.4,660,296.5,0,1097,419039,196469,222570
2020-10-07,"60-69",666,189.6,279,188.8,387,190.2,0,666,351248,147788,203460
2020-10-07,"70-79",279,117.8,121,148.1,158,101.8,0,279,236890,81674,155216
2020-10-07,"Virš 80",303,184.1,88,198.8,215,178.7,0,303,164546,44257,120289
