"educational_institution","confirmed_students","confirmed_all","first_case","last_case","NA"
"Raseinių rajono Girkalnio pagrindinė mokykla","","4","0","2020-10-05","2020-10-06"
"Vievio Jurgio Milančiaus pradinė mokykla","1","","tikslinama","2020-10-05","-"
"Vilniaus lopšelis-darželis „Giraitė“","","1","tikslinama","2020-10-04","-"
"Vilniaus Ozo gimnazija","1","","0","2020-10-04","-"
"Elektrėnų Versmės gimnazija","3","","90","2020-10-04","2020-10-12"
"Švenčionių rajono Pabradės „Žeimenos“ gimnazija","6","10","45","2020-10-04","2020-10-17"
"Kauno „Varpelio“ pradinė mokykla","2","","0","2020-10-04","-"
"Vilniaus vaikų darželis „Šviesos slėnis“","1","1","0","2020-09-26","2020-10-03"
"Vilniaus Petro Vileišio progimnazija","3","","31","2020-10-03","2020-10-09"
"Vilniaus Joachimo Lelevelio inžinerijos gimnazija","1","","37","2020-10-03","-"
"Utenos Aukštakalnio progimnazija","1","","41","2020-10-03","-"
"Šiaulių Jėzuitų mokykla","1","","tikslinama","2020-10-03","-"
"Kauno Bernardo Brazdžionio mokykla","1","","tikslinama","2020-10-03","-"
"Radviliškio Gražinos pagrindinė mokykla","1","","tikslinama","2020-10-03","-"
"Radviliškio lopšelis-darželis „Eglutė“","1","","tikslinama","2020-10-02","-"
"Šiaulių „Romuvos“ gimnazija","2","","0","2020-10-02","2020-10-15"
"Vilniaus „Žėručio“ pradinė mokykla","1","","28","2020-10-02","-"
"Šiaulių ,,Ringuvos“ mokykla","1","","0","2020-10-02","-"
"VŠĮ Demokratinė mokykla (Vilnius)","1","2","tikslinama","2020-10-01","2020-10-08"
"Šiaulių lopšelis-darželis „Drugelis“","","1","19","2020-10-01","-"
"Šiaulių „Rasos“ progimnazija","","1","31","2020-10-01","-"
"Kauno Simono Daukanto progimnazija","2","","tikslinama","2020-10-01","2020-10-09"
"Vilniaus r. Buivydiškių pradinė mokykla","1","","tikslinama","2020-10-01","-"
"Šiaulių Simono Daukanto gimnazija","2","","tikslinama","2020-10-01","-"
"Klaipėdos Vydūno gimnazija","6","","28","2020-10-01","2020-10-14"
"Šiaulių „Dermės“ mokykla","1","","0","2020-09-30","-"
"Marijampolės vaikų lopšelis-darželis – „Rūta“","","1","0","2020-09-29","-"
"Mažeikių „Gabijos“ gimnazija","1","","93","2020-09-29","-"
"Kauno Valdorfo mokykla","4","","24","2020-09-29","2020-10-05"
"Elektrėnų savivaldybės Vievio gimnazija","1","","tikslinama","2020-10-05",""
"Vilniaus lopšelis-darželis „Ozas“","1","","0","2020-09-29","-"
"Vilniaus Baltupių progimnazija","2","","0","2020-09-29","2020-10-12"
