"educational_institution","confirmed_students","confirmed_teachers","confirmed_other","quarantined","first_case","last_case"
"Kauno lopšelis-darželis „Spindulėlis“","","","1","9","2020-09-17","-"
"Klaipėdos licėjus","1","","","15","2020-09-17","-"
"Marijampolės Petro Armino progimnazija","","1","","112","2020-09-17","-"
"Marijampolės Marijonų gimnazija","","1","","164","2020-09-17","-"
"Mažeikių „Ventos“ progimnazija","1","","","31","2020-09-17","-"
"Vilniaus „Vyturio“ pradinė mokykla","1","","","0","2020-09-17","-"
"Vilniaus S. Konarskio gimnazija","1","","","0","2020-09-16","-"
"Šiaulių universitetinė gimnazija","1","","","0","2020-09-16","-"
"Panevėžio „Šaltinio“ progimnazija","","","1","0","2020-09-15","-"
"Švenčionių Zigmo Žemaičio gimnazija","2","","","68","2020-09-14","2020-10-11"
"Šiaulių r. Ginkūnų Sofijos ir Vladimiro Zubovų mokykla","","","1","5","2020-09-13","-"
"M. Račkausko gimnazija (Mažeikių r.)","1","","","81","2020-09-13","-"
"Klaipėdos „Saulėtekio“ progimnazija","","1","","4","2020-09-13","-"
"Vilniaus Simono Stanevičiaus progimnazija","1","1","1","28","2020-09-13","2020-09-19"
"Klaipėdos liciėjus","1","","","0","2020-09-12","-"
"Jovaro progimnazija (Šiauliai)","2","","","23","2020-09-11","2020-09-30"
"Kudirkos progimnazija (Šiauliai)","1","","","0","2020-09-11","-"
"Panevėžio vilties progimnazija","1","","","30","2020-09-11","-"
"Viešvilės pagrindinė mokykla (Jurbarko r.)","1","","","9","2020-09-11","-"
"Gabijos progimnazija (Vilnius)","14","1","","96","2020-09-12","2020-09-20"
"Panevėžio „Šviesos“ specialiojo ugdymo centras","","1","","10","2020-09-09","-"
"Juodupės gimnazija (Rokiškio r.)","1","2","1","6","2020-09-09","2020-09-23"
"Klaipėdos „Versmės“ progimnazija","1","","","30","2020-09-08","-"
"Lopšelis/darželis „Gintarėlis“ (Gargždai)","1","","","24","2020-09-08","-"
"Prezidento Jono Žemaičio gimnazija (Raseiniai)","9","1","","41","2020-09-07","2020-10-10"
"Jono Pauliaus II gimnazija (Kauno m.)","4","","","54","2020-09-07","2020-09-23"
"Martyno Mažvydo progimnazija (Vilniaus m.)","3","2","","261","2020-09-07","2020-10-13"
"Vilniaus privati gimnazija","1","","","16","2020-09-06","-"
"Šiaulių Dainų progimnazija","3","","","27","2020-09-05","2020-10-02"
"Šiaulių Romuvos progimnazija","2","","","29","2020-09-05","2020-09-13"
"Raseinių „Šaltinio“ progimnazija","12","","2","54","2020-09-04","2020-10-11"
"Lopšelis-darželis „Varpelis“ (Vilniaus m.)","1","","","5","2020-09-03","-"
"„Saulėtekio“ vidurinė mokykla (Vilniaus m.)","1","","","0","2020-09-02","-"
"Vilniaus Lietuvių namų mokykla (Vilniaus m.)","2","","","57","2020-09-01","2020-09-28"
"Alytaus Dzūkijos mokykla","1","","","2","2020-09-01",""
"Antakalnio progimnazija","2","","","0","2020-09-01","2020-10-05"
"Vilniaus šv. Kristoforo gimnazija","1","","1","51","2020-09-07","2020-09-23"
"Lopšelis-darželis „Saulutė“ (Raseiniai)","","6","","17","2020-09-05","2020-10-02"
"Stakliškių gimnazija (Prienų r.)","1","1","","0","2020-09-05","2020-10-11"
"Giedraičių Antano Jaroševičiaus gimnazijos Joniškio skyrius (Molėtų rajonas)","1","","1","0","2020-09-03","-"
"IŠ VISO","273","143","23","3300","",""
