"educational_institution","confirmed_students","confirmed_all","first_case","last_case"
"Klaipėdos r. Lapių pagrindinė mokykla","","1","2020-10-10","-"
"Šiaulių rajono Kairių pagrindinė mokykla","","1","2020-10-09","-"
"Telšių Žemaitės gimnazija","","1","2020-10-09","-"
"Šiaulių „Spindulio“ ugdymo centras","4","12","2020-10-09","2020-10-18"
"Ukmergės Senamiesčio progimnazija","1","2","2020-10-09","2020-10-15"
"Panevėžio pradinė mokykla","1","","2020-10-10","-"
"Kauno Žaliakalnio progimnazija","1","","2020-10-10","-"
"Šiaulių lopšelis-darželis „Salduvė“","2","","2020-10-11","2020-10-12"
"Vilniaus Naujamiesčio mokykla","1","","2020-10-11","-"
"Rietavo savivaldybės Tverų gimnazija","1","","2020-10-11","-"
"Šiaulių Lieporių gimnazija","2","","2020-10-10","2020-10-19"
"Kauno Jono Žemaičio-Vytauto mokykla-daugiafunkcis centras","1","","2020-10-10","-"
"Kauno Vytauto Didžiojo universiteto „Rasos“ gimnazija","1","","2020-10-10","-"
"Plungės Senamiesčio mokykla","13","8","2020-10-10","2020-10-20"
"Elektrėnų profesinio mokymo centras","","1","2020-10-08","-"
"Kauno maisto pramonės ir prekybos mokymo centras","","1","2020-10-08","-"
"Vilniaus kunigaikščio Gedimino progimnazija","2","","2020-10-08","2020-10-12"
"Šalčininkų Lietuvos tūkstantmečio gimnacija","1","","2020-10-08","-"
"Vilniaus darželis - mokykla „Dainorėliai“","1","","2020-10-08","-"
"Šiaulių Gytarių progimnazija","1","1","2020-10-08","2020-10-15"
"Vilniaus darželis VšĮ „Katino dienelės“","","1","2020-10-07","-"
"Kauno technologijos universiteto Vaižganto progimnazija","6","9","2020-10-07","2020-10-15"
"Kauno Vinco Kudirkos progimnazija","1","","2020-10-07","-"
"Vilniaus „Saulės” privati gimnazija","1","","2020-10-07","-"
"Visagino „Draugystės“ progimnazija","1","","2020-10-07","-"
"Radviliškio technologijų ir verslo mokymo centras","","1","2020-10-07","-"
"Kauno Šančių mokykla-daugiafunkcis centras","2","","2020-10-07","-"
"Kelmės Jono Graičiūno gimnazija","4","","2020-10-07","2020-10-09"
"Vilniaus Jono Basanavičiaus gimnazija","14","2","2020-10-07","2020-10-20"
"Utenos Aukštakalnio Progimnazijos Žiburio Skyrius","1","3","2020-10-07","2020-10-10"
"Rietavo Lauryno Ivinskio gimnazija","2","","2020-10-06","2020-10-09"
"Vilniaus Juzefo Ignacijaus Kraševskio gimnazija","2","1","2020-10-06","2020-10-20"
"Kauno „Ryto“ pradinė mokykla","1","","2020-10-06","-"
"Vilniaus rajono Riešės vaikų darželis","","1","2020-10-05","-"
"Raseinių rajono Girkalnio pagrindinė mokykla","","4","2020-10-05","2020-10-06"
"Vievio Jurgio Milančiaus pradinė mokykla","1","","2020-10-05","-"
"Vilniaus lopšelis-darželis „Giraitė“","","1","2020-10-04","-"
"Vilniaus Ozo gimnazija","1","","2020-10-04","-"
"Elektrėnų Versmės gimnazija","3","","2020-10-04","2020-10-12"
"Švenčionių rajono Pabradės „Žeimenos“ gimnazija","6","10","2020-10-04","2020-10-17"
"Kauno „Varpelio“ pradinė mokykla","2","","2020-10-04","-"
"Vilniaus vaikų darželis „Šviesos slėnis“","1","1","2020-09-26","2020-10-03"
"Vilniaus Petro Vileišio progimnazija","4","","2020-10-03","2020-10-20"
"Vilniaus Joachimo Lelevelio inžinerijos gimnazija","1","","2020-10-03","-"
"Utenos Aukštakalnio progimnazija","1","","2020-10-03","-"
"Šiaulių Jėzuitų mokykla","1","","2020-10-03","-"
"Kauno Bernardo Brazdžionio mokykla","1","","2020-10-03","-"
"Radviliškio Gražinos pagrindinė mokykla","1","","2020-10-03","-"
"Radviliškio lopšelis-darželis „Eglutė“","1","","2020-10-02","-"
"Šiaulių „Romuvos“ gimnazija","2","","2020-10-02","2020-10-15"
"Vilniaus „Žėručio“ pradinė mokykla","1","","2020-10-02","-"
"Šiaulių ,,Ringuvos“ mokykla","1","","2020-10-02","-"
"VŠĮ Demokratinė mokykla (Vilnius)","1","2","2020-10-01","2020-10-08"
"Šiaulių lopšelis-darželis „Drugelis“","","1","2020-10-01","-"
"Šiaulių „Rasos“ progimnazija","","1","2020-10-01","-"
"Kauno Simono Daukanto progimnazija","2","","2020-10-01","2020-10-09"
"Vilniaus r. Buivydiškių pradinė mokykla","1","","2020-10-01","-"
"Šiaulių Simono Daukanto gimnazija","2","","2020-10-01","-"
"Klaipėdos Vydūno gimnazija","7","","2020-10-01","2020-10-18"
"Šiaulių „Dermės“ mokykla","1","","2020-09-30","-"
"Marijampolės vaikų lopšelis-darželis – „Rūta“","","1","2020-09-29","-"
"Mažeikių „Gabijos“ gimnazija","1","","2020-09-29","-"
"Kauno Valdorfo mokykla","4","","2020-09-29","2020-10-05"
"Elektrėnų savivaldybės Vievio gimnazija","1","","2020-10-05",""
"Vilniaus lopšelis-darželis „Ozas“","1","","2020-09-29","-"
"Vilniaus Baltupių progimnazija","2","","2020-09-29","2020-10-12"
"Viduklės Simono Stanevičiaus gimnazijos Gylių skyrius","","3","2020-09-28","2020-10-01"
"Radviliškio rajono „Pažinimo licėjus“","","1","2020-09-28","-"
"Vilniaus lopšelis-darželis „Ąžuolas“","","1","2020-09-28","-"
"Kauno „Saulės“ gimnazija","4","","2020-09-28","2020-10-19"
"Raseinių rajono Ariogalos gimnazija","4","3","2020-09-27","2020-10-10"
"Giedraičių Antano Jaroševičiaus gimnazijos Joniškio skyrius (Molėtų rajonas)","1","1","2020-09-03","-"
"Vilniaus Gerosios Vilties progimnazija","","1","2020-09-27","-"
"Kauno Bernardo Brazdžionio mokyklos lopšelis-darželis","1","","2020-09-27","-"
"Kauno Suzukio pradinė mokykla","1","","2020-09-27","-"
"Raseinių r. Betygalos Maironio gimnazija","1","5","2020-09-25","2020-10-10"
"Vilniaus lopšelis-darželis „Spragtukas“","","1","2020-09-26","-"
"Panevėžio Kazimiero Paltaroko gimnazija","1","","2020-09-26","-"
"Šiaulių r. Aukštelkės mokykla-daugiafunkcis centras","1","","2020-09-27","-"
"Telšių Vincento Borisevičiaus gimnazija","1","","2020-09-25","-"
"Raseinių vaikų darželis ,,Liepaitė“","1","2","2020-09-25","2020-09-28"
"Ukmergės Dukstynos pagrindinė mokykla","1","","2020-09-25","-"
"Kauno Jono Jablonskio gimnazija","1","","2020-09-25","-"
"Mažeikių Kalnėnų progimnazija","1","","2020-09-25","-"
"Kupiškio r. Alizavos pagrindinė mokykla","1","","2020-09-25","-"
"Kėdainių r. Krakių Mikalojaus Katkaus gimnazija","1","2","2020-09-26","2020-09-28"
"Vilniaus Antakalnio gimnazija","2","","2020-09-25","2020-09-29"
"Radviliškio lopšelis-darželis „Žvaigždutė“","","1","2020-09-24","-"
"Radviliškio Vinco Kudirkos progimnazija","1","1","2020-09-24","2020-09-30"
"Raseinių r. Nemakščių Martyno Mažvydo gimnazija","3","1","2020-09-24","2020-10-12"
"Raseinių Viktoro Petkaus pagrindinė mokykla","5","2","2020-09-24","2020-10-12"
"Radviliškio r. Šiaulėnų Marcelino Šikšnio gimnazija","1","","2020-09-24","-"
"Kauno „Vyturio“ gimnazija","1","","2020-09-24","-"
"Raseinių r. Šiluvos gimnazija","1","1","2020-09-24","-"
"American International School of Vilnius","2","","2020-09-23","2020-09-25"
"Šiaulių lopšelis-darželis „Rugiagėlė“","","1","2020-09-23","-"
"Kauno Erudito licėjus","15","3","2020-09-23","2020-10-06"
"Vilniaus M. Biržiškos progimnazija","1","","2020-09-23","-"
"Raseinių Technologijų ir Verslo mokykla","1","1","2020-09-23","2020-09-25"
"Panevėžio J. Miltinio gimnazija","10","1","2020-09-23","2020-10-07"
"Radviliškio r. Sidabravo gimnazija","","1","2020-09-23","-"
"Šiaulių r. Voveriškių lopšelis-darželis","","1","2020-09-23","-"
"Kauno r. Girionių vaikų darželis","","1","2020-09-22","-"
"Kauno r. Domeikavos gimnazija","","1","2020-09-22","-"
"Vilniaus rajono Riešės gimnazija","2","","2020-09-21","2020-10-19"
"Kaišiadorių r. Rumšiškių Antano Baranausko gimnazija","","1","2020-09-21","-"
"Kauno lopšelis-darželis „Žilvinėlis“","","1","2020-09-20","-"
"Panevėžio lopšelis-darželis „Pušynėlis“","","1","2020-09-20","-"
"Rokiškio Juozo Tumo-Vaižganto gimnazija","1","","2020-09-20","-"
"Šiaulių J. Janonio gimnazija","1","","2020-09-20","-"
"Kelmės r. Aukuro pagrindinė mokykla","1","","2020-09-20","-"
"Šiaulių lopšelis-darželis„Drugelis“","","1","2020-09-20","-"
"Raseinių r. Viduklės S. Stanevčiaus gimnazijos darželis","1","12","2020-09-20","2020-10-07"
"Mažeikių r. Viekšnių gimnazija","1","","2020-09-20","-"
"Švenčionių r. Švenčionėlių Karaliaus Mindaugo gimnazija","7","1","2020-09-20","2020-10-18"
"Žirmūnų profesinio rengimo centras","2","1","2020-09-20","2020-09-26"
"Raseinių r. Viduklės S. Stanevičiaus gimnazija","5","8","2020-09-19","2020-10-18"
"Radviliškio Lizdeikos gimnazija","2","","2020-09-19","2020-10-03"
"Klaipėdos Gilijos pradinės mokykla","2","","2020-09-19","2020-10-17"
"Ukmergės Antano Smetonos gimnazija","2","","2020-09-19","2020-09-25"
"Kelmės Kražantės progimnazija","","1","2020-09-19","-"
"Vilkaviškio r. Pilviškių Santakos gimnazija","1","","2020-09-19","-"
"Kėdainių J. Paukštelio progimnazija","","2","2020-09-18","2020-10-19"
"Kauno K. Griniaus progimnazija","10","","2020-09-18","2020-10-07"
"Grigiškių „Šviesos“ gimnazija (Vilnius)","3","","2020-09-18","2020-10-19"
"Šiaulių lopšelis-darželis „Kregždutė“","1","2","2020-09-18","2020-09-23"
"Šiaulių lopšelis-darželis „Trys nykštukai“","1","1","2020-09-18","2020-09-24"
"Šiaulių lopšelis-darželis „Bitė“","1","3","2020-09-18","2020-10-10"
"Švenčionių profesinio rengimo centras","","2","2020-09-16","2020-09-17"
"Kauno „Aleksoto“ darželis-lopšelis","","5","2020-09-17","2020-10-18"
"Kauno lopšelis-darželis „Spindulėlis“","","1","2020-09-17","-"
"Klaipėdos Martyno Mažvydo progimnazija","1","","2020-10-16",""
"Marijampolės Petro Armino progimnazija","","1","2020-09-17","-"
"Marijampolės Marijonų gimnazija","","1","2020-09-17","-"
"Mažeikių „Ventos“ progimnazija","1","","2020-09-17","-"
"Vilniaus „Vyturio“ pradinė mokykla","1","","2020-09-17","-"
"Vilniaus S. Konarskio gimnazija","1","","2020-09-16","-"
"Šiaulių universitetinė gimnazija","1","","2020-09-16","-"
"Panevėžio „Šaltinio“ progimnazija","","3","2020-09-15","2020-10-07"
"Švenčionių Zigmo Žemaičio gimnazija","4","","2020-09-14","2020-10-20"
"Šiaulių r. Ginkūnų Sofijos ir Vladimiro Zubovų mokykla","1","1","2020-09-13","2020-10-19"
"M. Račkausko gimnazija (Mažeikių r.)","1","","2020-09-13","-"
"Klaipėdos „Saulėtekio“ progimnazija","","1","2020-09-13","-"
"Vilniaus Simono Stanevičiaus progimnazija","3","2","2020-09-13","2020-10-19"
"Klaipėdos licėjus","1","1","2020-09-12","2020-06-17"
"Jovaro progimnazija (Šiauliai)","2","1","2020-09-11","2020-10-17"
"Kudirkos progimnazija (Šiauliai)","1","","2020-09-11","-"
"Panevėžio Vilties progimnazija","1","","2020-09-11","-"
"Viešvilės pagrindinė mokykla (Jurbarko r.)","1","","2020-09-11","-"
"Gabijos progimnazija (Vilnius)","15","1","2020-09-12","2020-10-20"
"Panevėžio „Šviesos“ specialiojo ugdymo centras","","1","2020-09-09","-"
"Juodupės gimnazija (Rokiškio r.)","1","3","2020-09-09","2020-09-23"
"Klaipėdos „Versmės“ progimnazija","1","","2020-09-08","-"
"Lopšelis/darželis „Gintarėlis“ (Gargždai)","1","","2020-09-08","-"
"Prezidento Jono Žemaičio gimnazija (Raseiniai)","9","1","2020-09-07","2020-10-10"
"Jono Pauliaus II gimnazija (Kauno m.)","4","","2020-09-07","2020-09-23"
"Martyno Mažvydo progimnazija (Vilniaus m.)","16","4","2020-09-07","2020-10-19"
"Vilniaus privati gimnazija","1","","2020-09-06","-"
"Šiaulių Dainų progimnazija","5","","2020-09-05","2020-10-18"
"Šiaulių Romuvos progimnazija","3","","2020-09-05","2020-10-19"
"Raseinių „Šaltinio“ progimnazija","12","3","2020-09-04","2020-10-16"
"Lopšelis-darželis „Varpelis“ (Vilniaus m.)","1","","2020-09-03","-"
"„Saulėtekio“ vidurinė mokykla (Vilniaus m.)","1","","2020-09-02","-"
"Vilniaus Lietuvių namų mokykla (Vilniaus m.)","2","","2020-09-01","2020-09-28"
"Alytaus Dzūkijos mokykla","1","","2020-09-01",""
"Antakalnio progimnazija","2","","2020-09-01","2020-10-05"
"Vilniaus šv. Kristoforo gimnazija","1","1","2020-09-07","2020-09-23"
"Lopšelis-darželis „Saulutė“ (Raseiniai)","","6","2020-09-05","2020-10-02"
"Stakliškių gimnazija (Prienų r.)","1","1","2020-09-05","2020-10-11"
"IŠ VISO","434","264","",""
