"evrk_section_code","evrk_section_title","evrk_chapter_code","evrk_chapter_title","evrk_group_code","evrk_group_title","evrk_class_code","evrk_class_title","evrk_subclass_code","evrk_subclass_title"
"K","Finansinė ir draudimo veikla","65","Draudimo, perdraudimo ir pensijų lėšų kaupimo, išskyrus privalomąjį socialinį draudimą, veikla","651","Draudimas","6510","Draudimas","651000","Draudimas"
"K","Finansinė ir draudimo veikla","65","Draudimo, perdraudimo ir pensijų lėšų kaupimo, išskyrus privalomąjį socialinį draudimą, veikla","651","Draudimas","6511","Gyvybės draudimas","651100","Gyvybės draudimas"
"K","Finansinė ir draudimo veikla","65","Draudimo, perdraudimo ir pensijų lėšų kaupimo, išskyrus privalomąjį socialinį draudimą, veikla","652","Perdraudimas","6520","Perdraudimas","652000","Perdraudimas"
"K","Finansinė ir draudimo veikla","66","Pagalbinė finansinių paslaugų ir draudimo veikla","661","Pagalbinė finansinių paslaugų, išskyrus draudimą ir pensijų lėšų kaupimą, veikla","6611","Finansų rinkos valdymas","661100","Finansų rinkos valdymas"
"K","Finansinė ir draudimo veikla","66","Pagalbinė finansinių paslaugų ir draudimo veikla","661","Pagalbinė finansinių paslaugų, išskyrus draudimą ir pensijų lėšų kaupimą, veikla","6612","Vertybinių popierių ir prekių sutarčių sudarymo tarpininkavimas","661200","Vertybinių popierių ir prekių sutarčių sudarymo tarpininkavimas"
"K","Finansinė ir draudimo veikla","66","Pagalbinė finansinių paslaugų ir draudimo veikla","662","Pagalbinė draudimo ir pensijų lėšų kaupimo veikla","6629","Kita pagalbinė draudimo ir pensijų lėšų kaupimo veikla","662900","Kita pagalbinė draudimo ir pensijų lėšų kaupimo veikla"
"L","Nekilnojamojo turto operacijos","68","Nekilnojamojo turto operacijos","682","Nuosavo arba nuomojamo nekilnojamojo turto nuoma ir eksploatavimas","6820","Nuosavo arba nuomojamo nekilnojamojo turto nuoma ir eksploatavimas","682000","Nuosavo arba nuomojamo nekilnojamojo turto nuoma ir eksploatavimas"
"M","Profesinė, mokslinė ir techninė veikla","69","Teisinė ir apskaitos veikla","691","Teisinė veikla","6910","Teisinė veikla","691010","Konsultacijos ir juridinis atstovavimas civilinėse ir baudžiamosiose bylose"
"M","Profesinė, mokslinė ir techninė veikla","70","Pagrindinių buveinių veikla; konsultacinė valdymo veikla","702","Konsultacinė valdymo veikla","7020","Konsultacinė valdymo veikla","702000","Konsultacinė valdymo veikla"
"M","Profesinė, mokslinė ir techninė veikla","70","Pagrindinių buveinių veikla; konsultacinė valdymo veikla","702","Konsultacinė valdymo veikla","7022","Konsultacinė verslo ir kito valdymo veikla","702200","Konsultacinė verslo ir kito valdymo veikla"
"M","Profesinė, mokslinė ir techninė veikla","71","Architektūros ir inžinerijos veikla; techninis tikrinimas ir analizė","711","Architektūros ir inžinerijos veikla bei su ja susijusios techninės konsultacijos","7111","Architektūros veikla","711100","Architektūros veikla"
"M","Profesinė, mokslinė ir techninė veikla","71","Architektūros ir inžinerijos veikla; techninis tikrinimas ir analizė","711","Architektūros ir inžinerijos veikla bei su ja susijusios techninės konsultacijos","7112","Inžinerijos veikla ir su ja susijusios techninės konsultacijos","711250","Geologinės paieškos ir žvalgyba"
"M","Profesinė, mokslinė ir techninė veikla","71","Architektūros ir inžinerijos veikla; techninis tikrinimas ir analizė","712","Techninis tikrinimas ir analizė","7120","Techninis tikrinimas ir analizė","712060","Matavimo priemonių patikra bei kalibravimas"
"M","Profesinė, mokslinė ir techninė veikla","71","Architektūros ir inžinerijos veikla; techninis tikrinimas ir analizė","712","Techninis tikrinimas ir analizė","7120","Techninis tikrinimas ir analizė","712070","Gaminių sertifikavimas, jų normatyvinių dokumentų reikalavimų kontrolė"
"M","Profesinė, mokslinė ir techninė veikla","72","Moksliniai tyrimai ir taikomoji veikla","722","Socialinių ir humanitarinių mokslų moksliniai tyrimai ir taikomoji veikla","7220","Socialinių ir humanitarinių mokslų moksliniai tyrimai ir taikomoji veikla","722000","Socialinių ir humanitarinių mokslų moksliniai tyrimai ir taikomoji veikla"
"M","Profesinė, mokslinė ir techninė veikla","73","Reklama ir rinkos tyrimas","732","Rinkos tyrimas ir viešosios nuomonės apklausa","7320","Rinkos tyrimas ir viešosios nuomonės apklausa","732000","Rinkos tyrimas ir viešosios nuomonės apklausa"
"M","Profesinė, mokslinė ir techninė veikla","74","Kita profesinė, mokslinė ir techninė veikla","740","Kita profesinė, mokslinė ir techninė veikla","7400","Kita profesinė, mokslinė ir techninė veikla","740000","Kita profesinė, mokslinė ir techninė veikla"
"M","Profesinė, mokslinė ir techninė veikla","75","Veterinarinė veikla","750","Veterinarinė veikla","7500","Veterinarinė veikla","750010","Gyvulių ir gyvūnų stacionarinis gydymas"
"M","Profesinė, mokslinė ir techninė veikla","75","Veterinarinė veikla","750","Veterinarinė veikla","7500","Veterinarinė veikla","750020","Gyvulių ir gyvūnų ambulatorinis gydymas"
"M","Profesinė, mokslinė ir techninė veikla","75","Veterinarinė veikla","750","Veterinarinė veikla","7500","Veterinarinė veikla","750040","Veterinarijos laboratorijų veikla"
"N","Administracinė ir aptarnavimo veikla","77","Nuoma ir išperkamoji nuoma","771","Variklinių transporto priemonių nuoma ir išperkamoji nuoma","7711","Automobilių ir lengvųjų variklinių transporto priemonių nuoma ir išperkamoji nuoma","771100","Automobilių ir lengvųjų variklinių transporto priemonių nuoma ir išperkamoji nuoma"
