"ab_neg_day","ab_pos_day","ab_prc_day","ab_tot_day","ag_neg_day","ag_pos_day","ag_prc_day","ag_tot_day","date","dgn_neg_day","dgn_pos_day","dgn_prc_day","dgn_tot_day","dgn_tot_day_gmp","municipality_code","pcr_neg_day","pcr_pos_day","pcr_prc_day","pcr_tot_day","daily_deaths_def1","daily_deaths_def2","daily_deaths_def3","daily_deaths_all","incidence","cumulative_totals","active_de_jure","active_sttstcl","dead_cases","recovered_de_jure","recovered_sttstcl","municipality_name","population","map_colors"
0,0,0,0,0,0,0,0,"2020-03-20",0,0,0,0,0,"77",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"Tauragės r. sav.",37322,"Juoda D"
0,0,0,0,0,0,0,0,"2020-03-20",0,0,0,0,0,"78",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Telšių r. sav.",38759,"Juoda D"
0,0,0,0,0,0,0,0,"2020-03-20",0,0,0,0,0,"79",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Trakų r. sav.",33204,"Juoda D"
0,0,0,0,0,0,0,0,"2020-03-20",1,0,0,1,0,"81",1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,"Ukmergės r. sav.",33049,"Juoda D"
0,0,0,0,0,0,0,0,"2020-03-20",0,0,0,0,0,"82",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,"Utenos r. sav.",37073,"Juoda D"
0,0,0,0,0,0,0,0,"2020-03-20",0,0,0,0,0,"84",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"Šakių r. sav.",26068,"Juoda D"
0,0,0,0,0,0,0,0,"2020-03-20",0,0,0,0,0,"85",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,"Šalčininkų r. sav.",30264,"Juoda D"
0,0,0,0,0,0,0,0,"2020-03-20",0,0,0,0,0,"86",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Švenčionių r. sav.",22495,"Juoda D"
0,0,0,0,0,0,0,0,"2020-03-20",0,0,0,0,0,"87",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Šilalės r. sav.",21428,"Juoda D"
0,0,0,0,0,0,0,0,"2020-03-20",0,0,0,0,0,"88",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,"Šilutės r. sav.",37076,"Juoda D"
0,0,0,0,0,0,0,0,"2020-03-20",0,0,0,0,0,"89",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Širvintų r. sav.",14907,"Juoda D"
