"date","municipality_name","municipality_code","municipality_order","vaccination_state","all_day","a_gr0_15_day","a_gr16_24_day","a_gr25_34_day","a_gr35_44_day","a_gr45_54_day","a_gr55_64_day","a_gr65_69_day","a_gr70_74_day","a_gr75_79_day","a_gr80_plus_day","all_cum","object_id"
2020-12-01,"Kaišiadorių r. sav.","49","18","Pilnai",0,0,0,0,0,0,0,0,0,0,0,0,11885
2020-12-01,"Kaišiadorių r. sav.","49","18","Visi",0,0,0,0,0,0,0,0,0,0,0,0,673
2020-12-01,"Kaišiadorių r. sav.","49","18","Dalinai",0,0,0,0,0,0,0,0,0,0,0,0,27611
2020-12-01,"Kauno r. sav.","52","20","Visi",0,0,0,0,0,0,0,0,0,0,0,0,17040
2020-12-01,"Kauno r. sav.","52","20","Dalinai",0,0,0,0,0,0,0,0,0,0,0,0,21416
2020-12-01,"Kauno r. sav.","52","20","Pilnai",0,0,0,0,0,0,0,0,0,0,0,0,11115
2020-12-01,"Kėdainių r. sav.","53","22","Dalinai",0,0,0,0,0,0,0,0,0,0,0,0,7522
2020-12-01,"Kėdainių r. sav.","53","22","Visi",0,0,0,0,0,0,0,0,0,0,0,0,674
2020-12-01,"Kėdainių r. sav.","53","22","Pilnai",0,0,0,0,0,0,0,0,0,0,0,0,27358
2020-12-01,"Kelmės r. sav.","54","23","Pilnai",0,0,0,0,0,0,0,0,0,0,0,0,18813
2020-12-01,"Kelmės r. sav.","54","23","Dalinai",0,0,0,0,0,0,0,0,0,0,0,0,27954
2020-12-01,"Kelmės r. sav.","54","23","Visi",0,0,0,0,0,0,0,0,0,0,0,0,14666
2020-12-01,"Klaipėdos r. sav.","55","24","Dalinai",0,0,0,0,0,0,0,0,0,0,0,0,20423
2020-12-01,"Klaipėdos r. sav.","55","24","Pilnai",0,0,0,0,0,0,0,0,0,0,0,0,6148
2020-12-01,"Klaipėdos r. sav.","55","24","Visi",0,0,0,0,0,0,0,0,0,0,0,0,2111
2020-12-01,"Kretingos r. sav.","56","25","Pilnai",0,0,0,0,0,0,0,0,0,0,0,0,9919
2020-12-01,"Kretingos r. sav.","56","25","Dalinai",0,0,0,0,0,0,0,0,0,0,0,0,14501
2020-12-01,"Kretingos r. sav.","56","25","Visi",0,0,0,0,0,0,0,0,0,0,0,0,2460
2020-12-01,"Kupiškio r. sav.","57","26","Dalinai",0,0,0,0,0,0,0,0,0,0,0,0,23356
