"daily_deaths_all","daily_deaths_def1","daily_deaths_def2","daily_deaths_def3","date","dgn_pos_cum","dgn_pos_day","dgn_prc_cum","dgn_prc_day","dgn_tot_day","municipality_code","municipality_name"
1,0,0,0,2020-03-21,0,0,0,0,0,"66","Panevėžio r. sav."
0,0,0,0,2020-03-21,0,0,0,0,0,"67","Pasvalio r. sav."
1,0,0,0,2020-03-21,0,0,0,0,1,"68","Plungės r. sav."
0,0,0,0,2020-03-21,0,0,0,0,0,"69","Prienų r. sav."
0,0,0,0,2020-03-21,0,0,0,0,0,"71","Radviliškio r. sav."
1,0,0,0,2020-03-21,1,1,14.3,25,4,"72","Raseinių r. sav."
2,0,0,0,2020-03-21,0,0,0,0,0,"73","Rokiškio r. sav."
0,0,0,0,2020-03-21,0,0,0,0,0,"74","Rietavo sav."
1,0,0,0,2020-03-21,0,0,0,0,1,"75","Skuodo r. sav."
3,0,0,0,2020-03-21,0,0,0,0,2,"77","Tauragės r. sav."
1,0,0,0,2020-03-21,0,0,0,0,1,"78","Telšių r. sav."
1,0,0,0,2020-03-21,0,0,0,0,1,"79","Trakų r. sav."
2,0,0,0,2020-03-21,0,0,0,0,0,"81","Ukmergės r. sav."
3,0,0,0,2020-03-21,0,0,0,0,2,"82","Utenos r. sav."
0,0,0,0,2020-03-21,0,0,0,0,0,"84","Šakių r. sav."
0,0,0,0,2020-03-21,0,0,0,0,2,"85","Šalčininkų r. sav."
2,0,0,0,2020-03-21,1,1,50,50,2,"86","Švenčionių r. sav."
0,0,0,0,2020-03-21,0,0,0,0,1,"87","Šilalės r. sav."
3,0,0,0,2020-03-21,0,0,0,0,7,"88","Šilutės r. sav."
0,0,0,0,2020-03-21,0,0,0,0,0,"89","Širvintų r. sav."
1,0,0,0,2020-03-21,0,0,0,0,0,"91","Šiaulių r. sav."
1,0,0,0,2020-03-21,0,0,0,0,0,"94","Jurbarko r. sav."
109,0,0,0,2020-03-22,58,28,7.7,10.1,276,"00","Lietuva"
2,0,0,0,2020-03-22,0,0,0,0,2,"11","Alytaus m. sav."
0,0,0,0,2020-03-22,0,0,0,0,0,"12","Birštono sav."
18,0,0,0,2020-03-22,34,16,7.7,8,200,"13","Vilniaus m. sav."
1,0,0,0,2020-03-22,0,0,0,0,0,"15","Druskininkų sav."
0,0,0,0,2020-03-22,0,0,0,0,1,"18","Marijampolės sav."
9,0,0,0,2020-03-22,8,6,6.5,22.2,27,"19","Kauno m. sav."
3,0,0,0,2020-03-22,5,1,10.9,100,1,"21","Klaipėdos m. sav."
0,0,0,0,2020-03-22,0,0,0,0,0,"23","Neringos sav."
0,0,0,0,2020-03-22,0,0,0,0,0,"25","Palangos m. sav."
0,0,0,0,2020-03-22,0,0,0,0,0,"27","Panevėžio m. sav."
3,0,0,0,2020-03-22,0,0,0,0,0,"29","Šiaulių m. sav."
0,0,0,0,2020-03-22,0,0,0,0,0,"30","Visagino sav."
1,0,0,0,2020-03-22,0,0,0,0,0,"32","Akmenės r. sav."
1,0,0,0,2020-03-22,0,0,0,0,0,"33","Alytaus r. sav."
0,0,0,0,2020-03-22,0,0,0,0,0,"34","Anykščių r. sav."
0,0,0,0,2020-03-22,0,0,0,0,0,"36","Biržų r. sav."
0,0,0,0,2020-03-22,0,0,0,0,1,"38","Varėnos r. sav."
2,0,0,0,2020-03-22,0,0,0,0,0,"39","Vilkaviškio r. sav."
4,0,0,0,2020-03-22,0,0,0,0,8,"41","Vilniaus r. sav."
1,0,0,0,2020-03-22,0,0,0,0,5,"42","Elektrėnų sav."
3,0,0,0,2020-03-22,0,0,0,0,0,"43","Zarasų r. sav."
3,0,0,0,2020-03-22,2,0,66.7,0,1,"45","Ignalinos r. sav."
1,0,0,0,2020-03-22,0,0,0,0,2,"46","Jonavos r. sav."
1,0,0,0,2020-03-22,0,0,0,0,0,"47","Joniškio r. sav."
0,0,0,0,2020-03-22,0,0,0,0,0,"48","Kalvarijos sav."
